step,_runtime,l2_error,_timestamp,loss_boundary,time,_step,loss,loss_interior
0,5.727578639984131,1.5225362616657556,1715592856.7203956,1.5480622822617889,1.5953783988952637,0,124.79941088089237,123.25134859863059
1,5.895347833633423,1.5920836352477965,1715592856.8881648,1.4138132401801886,2.0565905570983887,1,123.6244964508374,122.21068321065721
2,6.059394598007202,0.8805161710000554,1715592857.0522115,1.2111620441086421,2.22183895111084,2,109.56507810286809,108.35391605875944
3,6.227304458618164,1.1686998880240687,1715592857.2201214,0.4373675539641905,2.3897743225097656,3,92.45283534105334,92.01546778708915
4,6.391655683517456,1.389271361591428,1715592857.3844726,0.7132739616969518,2.554210662841797,4,88.2466360936365,87.53336213193954
5,6.557047128677368,1.4712047527797563,1715592857.549864,1.1351017263174104,2.7195889949798584,5,55.30599414362663,54.17089241730922
6,6.720419645309448,1.4751732615052016,1715592857.7132366,1.3820731672746698,2.8829867839813232,6,52.7329048626865,51.350831695411834
7,6.88444447517395,1.4823560541905234,1715592857.8772614,1.3959824165240349,3.04702091217041,7,52.70851203004725,51.31252961352322
8,7.04988956451416,1.4955050330766735,1715592858.0427065,1.435148952977868,3.212419033050537,8,52.30560768125473,50.87045872827686
9,7.213217258453369,1.5124212813606004,1715592858.2060342,1.5021212816367158,3.3757243156433105,9,51.632576070649115,50.1304547890124
10,7.378780841827393,1.5285688170761103,1715592858.3715978,1.5615423105101391,3.541283130645752,10,51.23125929462467,49.66971698411453
11,7.543313264846802,1.5615192522834798,1715592858.5361302,1.6056016270707691,3.705810546875,11,50.792042381058614,49.186440753987846
12,7.706119537353516,1.582107501322127,1715592858.6989365,1.6649789698181479,3.868595838546753,12,49.98397216409438,48.31899319427623
13,7.869714736938477,1.5324068796174695,1715592858.8625317,1.677017791941236,4.032003402709961,13,48.87566904912936,47.19865125718812
14,8.034461259841919,0.8663272885838232,1715592859.0272782,1.4367196875255368,4.196635484695435,14,44.6250755089993,43.18835582147376
15,8.200035810470581,0.8221333507388502,1715592859.1928527,0.5608401790523312,4.3622519969940186,15,27.21407748703671,26.65323730798438
16,8.36746335029602,0.9578053291565315,1715592859.3602803,0.5115501580779581,4.529683828353882,16,25.138310359426736,24.626760201348777
17,8.533152341842651,1.1501240790345884,1715592859.5259693,0.6292160179120138,4.695380449295044,17,23.933588645501118,23.304372627589103
18,8.698056936264038,1.309274816939749,1715592859.6908739,0.8479517318081117,4.860312461853027,18,23.082352634912034,22.23440090310392
19,8.863451719284058,1.3623073826375096,1715592859.8562686,1.0859039575047351,5.025702476501465,19,22.248904689812285,21.163000732307548
20,9.027901649475098,1.433564879404364,1715592860.0207186,1.1861062732608247,5.1901774406433105,20,21.637814088146527,20.4517078148857
21,9.192662000656128,1.4543876287096669,1715592860.185479,1.348190148187381,5.354925870895386,21,20.426469515676985,19.078279367489603
