_runtime,l2_error,loss_boundary,loss_interior,_step,_timestamp,loss,step,time
5.451337814331055,1.5955120218268408,1.5480622822617889,123.25134859863059,0,1715595803.7212677,124.79941088089237,0,1.4492132663726807
5.572335958480835,2.1870831409597193,1.5480618612254726,123.2513459716017,1,1715595803.8422658,124.79940783282717,1,1.825392484664917
5.6886985301971436,2.011231937759669,2.5867950171654064,125.98047474372613,2,1715595803.9586284,128.56726976089155,2,1.94284987449646
5.79082179069519,1.9557621873308173,2.4650518901534313,115.1786676227817,3,1715595804.0607517,117.64371951293514,3,2.0448813438415527
5.895315408706665,2.114814812291224,2.246376574323674,79.62231121392563,4,1715595804.1652453,81.8686877882493,4,2.149712324142456
5.9870264530181885,2.016294352332697,2.3962860226734395,52.90136941438429,5,1715595804.2569563,55.29765543705773,5,2.2414050102233887
6.080474615097046,1.790615202148674,2.109670004969826,39.183963279214474,6,1715595804.3504045,41.2936332841843,6,2.332998752593994
6.172001123428345,2.1515127073975573,1.6491156104766933,31.82139117867694,7,1715595804.441931,33.47050678915363,7,2.426375389099121
6.263841390609741,2.1308946664594814,2.3159233131985557,18.137561837721545,8,1715595804.5337713,20.453485150920102,8,2.5181519985198975
6.355596542358398,2.287252028562675,2.4340952071771214,13.733281351846697,9,1715595804.6255264,16.16737655902382,9,2.6099305152893066
6.45118522644043,2.224579057238449,2.819572811938497,9.324646782551998,10,1715595804.721115,12.144219594490494,10,2.7051947116851807
6.555434942245483,1.9267946959706437,2.6641947751396393,7.258485227671648,11,1715595804.8253648,9.922680002811287,11,2.809443712234497
6.659899711608887,1.7212748118328587,2.0905988345937354,5.796037411501294,12,1715595804.9298296,7.886636246095029,12,2.914290189743042
6.751949071884155,1.4426396529847874,1.6958756654725293,4.555791733859098,13,1715595805.021879,6.251667399331628,13,3.0063235759735107
6.8436501026153564,1.2548035942873217,1.2361114986709298,4.057134786049589,14,1715595805.11358,5.293246284720519,14,3.0980241298675537
6.935523986816406,0.9412734111597425,0.990555734700195,3.7187265888020216,15,1715595805.2054539,4.709282323502217,15,3.1898996829986572
7.027434587478638,0.7494599047401338,0.6264802406430094,3.1059417100833073,16,1715595805.2973645,3.7324219507263168,16,3.2818338871002197
7.119149446487427,0.6863856267470845,0.44349277698334116,2.6446330218423584,17,1715595805.3890793,3.0881257988256996,17,3.3735404014587402
7.211090087890625,0.6546842412548,0.38505731300607793,2.2631232069750795,18,1715595805.48102,2.6481805199811577,18,3.465484380722046
7.3067307472229,0.6259236323987369,0.3568991496069022,2.051057625998438,19,1715595805.5766606,2.4079567756053404,19,3.561093330383301
7.4096245765686035,0.5810824948920352,0.3320325978632912,1.9332615371527806,20,1715595805.6795545,2.265294135016072,20,3.6638448238372803
7.511419296264648,0.5752364748837449,0.29427330895059206,1.8400780964571246,21,1715595805.7813492,2.134351405407717,21,3.765632390975952
7.613790988922119,0.5632005294265005,0.2913347795221149,1.7127006882443758,22,1715595805.8837209,2.004035467766491,22,3.8679540157318115
7.716594219207764,0.5471524217068543,0.28180513426099646,1.6445140881959406,23,1715595805.986524,1.926319222456937,23,3.970782518386841
7.817532777786255,0.5361752349103083,0.2682665239707789,1.6004729370387576,24,1715595806.0874627,1.8687394610095365,24,4.071681976318359
7.918295860290527,0.5232961951861046,0.26015916692060703,1.5301377396741154,25,1715595806.1882257,1.7902969065947225,25,4.172588586807251
8.01907730102539,0.5024917035083734,0.25013172941350176,1.4492588689073445,26,1715595806.2890072,1.6993905983208462,26,4.273258686065674
8.12139892578125,0.49283517439277447,0.23268218572350446,1.3719959093573275,27,1715595806.3913288,1.604678095080832,27,4.375700235366821
8.223234176635742,0.48099394641750354,0.22511638543487014,1.2933698233124309,28,1715595806.493164,1.518486208747301,28,4.4775614738464355
