step,time,_step,loss_boundary,loss,loss_interior,_runtime,l2_error,_timestamp
31,13.605546474456787,31,1.5187363133107488,19.19422570787912,17.67548939456837,18.221173763275146,1.4811784127263274,1715427302.3455367
32,13.96744680404663,32,1.4033824459695143,18.775188042131973,17.371805596162456,18.583283185958862,1.4788399822050362,1715427302.7076461
33,14.327101469039917,33,1.5057484564140493,22.038599536279985,20.532851079865935,18.942744493484497,1.4924640224342536,1715427303.0671074
34,14.698548078536987,34,1.4823641641358623,18.06256058790088,16.580196423765017,19.31405258178711,1.5003026008207672,1715427303.4384155
35,15.060632944107056,35,1.6384567770780623,19.760462181401365,18.122005404323303,19.676167488098145,1.5117220041383546,1715427303.8005304
36,15.431757926940918,36,1.5611107249891634,20.01708201738084,18.455971292391677,20.047235250473022,1.580595058581873,1715427304.1715982
37,15.802478313446045,37,1.7691774506744424,18.934823974253074,17.165646523578634,20.41831350326538,1.5869229416281627,1715427304.5426764
38,16.159845113754272,38,1.8005921370908002,18.63470897621936,16.834116839128562,20.775733470916748,1.62761209887384,1715427304.9000964
39,16.51609969139099,39,1.8457394871900719,18.080804632239726,16.235065145049653,21.131784200668335,1.6260949582536253,1715427305.2561471
40,16.87372064590454,40,1.7624765732910648,19.163232948308586,17.400756375017522,21.489631175994873,1.6670254748050506,1715427305.6139941
42,17.613173484802246,41,1.8510508782429425,17.635224492050725,15.78417361380778,22.228944540023804,1.6671343611764293,1715427306.3533075
46,19.06372904777527,42,2.0264953541502106,19.338324098255946,17.311828744105735,23.679805278778076,1.7300903285650309,1715427307.8041682
50,20.59769582748413,43,2.0807327836651957,16.109675056829,14.028942273163807,25.21370792388916,1.7508492583532118,1715427309.3380709
55,22.41376829147339,44,2.200615788277326,13.388557402039588,11.187941613762261,27.02960228919983,1.8286560858930931,1715427311.1539652
61,24.81264853477478,45,2.2921072472692514,13.137359945674215,10.845252698404963,29.428568840026855,1.8594955010736491,1715427313.5529318
67,26.97586441040039,46,2.4537656378023986,13.032647999386942,10.578882361584544,31.591790914535522,1.9354702246788682,1715427315.7161539
