step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,124.79941088089237,6.403379440307617,2.360445022583008,2.7460203251854507,123.25134859863059,1.5480622822617889,1742841217.0415413
1,1,117.80405482039717,7.435503244400024,4.369743347167969,2.7056924918866576,113.99066747878705,3.8133873416101176,1742841218.0736651
2,2,112.53247105690775,8.458855867385864,5.394412040710449,2.754467202929827,108.43398955890561,4.0984814980021484,1742841219.0970178
3,3,110.01377399227478,9.48140811920166,6.417003631591797,2.540730907182114,106.22023953741045,3.7935344548643353,1742841220.11957
4,4,102.7482938881373,10.501839637756348,7.4374377727508545,1.7964296821833696,99.23318197373814,3.5151119143991574,1742841221.1400015
5,5,66.04870707415131,11.525197744369507,8.460808753967285,1.9409781637822099,64.33251211195588,1.7161949621954273,1742841222.1633596
6,6,48.15755405230949,12.547133684158325,9.482222080230713,0.5734629121779591,46.42523412465042,1.7323199276590708,1742841223.1852956
7,7,9.905511912258051,13.571253061294556,10.50677490234375,0.5845360775280909,9.695555316392362,0.20995659586568893,1742841224.209415
8,8,1.7359283598898534,14.592718362808228,11.528250455856323,0.28338779746994647,1.542598846641462,0.1933295132483915,1742841225.2308803
9,9,0.4238113074040213,15.614175796508789,12.549744844436646,0.1980727393448461,0.3799025518721614,0.04390875553185989,1742841226.2523377
10,10,0.1636262110611039,16.635202407836914,13.570775508880615,0.15463032361787582,0.14069905316508327,0.022927157896020626,1742841227.2733643
11,11,0.09124275783949798,17.65601420402527,14.591455936431885,0.09398436835855777,0.07670057562355825,0.014542182215939722,1742841228.294176
12,12,0.051778722182930066,18.677106857299805,15.61269497871399,0.06644022168290388,0.04630632698420597,0.005472395198724097,1742841229.3152688
13,13,0.02559521126750854,19.700940370559692,16.636393308639526,0.04822219561136356,0.022469601607635475,0.003125609659873064,1742841230.3391023
14,14,0.015183425840034973,20.722100496292114,17.657564640045166,0.03787982624914973,0.013575221824595496,0.0016082040154394763,1742841231.3602624
15,15,0.008761627377579906,21.74328351020813,18.67884874343872,0.026636056786842558,0.007756690389081053,0.001004936988498852,1742841232.3814454
16,16,0.004357904062811568,22.76578998565674,19.701342344284058,0.01771179539186634,0.003880205549006639,0.0004776985138049287,1742841233.403952
17,17,0.002187819300715589,23.787503957748413,20.723000049591064,0.013444175234075753,0.0019896953610410283,0.00019812393967456047,1742841234.4256659
18,18,0.0008639263463609435,24.80825686454773,21.74370765686035,0.00921456993360913,0.0007385950808905645,0.00012533126547037903,1742841235.4464188
19,19,0.000448821797313394,25.829468250274658,22.76504635810852,0.007248370444376899,0.0004053345184667768,4.348727884661714e-05,1742841236.4676301
20,20,0.00026113069600442157,26.85064435005188,23.786106824874878,0.008133458867876323,0.00022592037110637732,3.521032489804424e-05,1742841237.4888062
21,21,0.00012312439212707453,27.872472286224365,24.808043003082275,0.007740912295014445,8.397816780676096e-05,3.914622432031356e-05,1742841238.5106342
22,22,8.487848826405604e-05,28.893041610717773,25.82862138748169,0.006382500657148377,5.012899127493491e-05,3.4749496989121124e-05,1742841239.5312035
23,23,5.8796287741031005e-05,29.914384365081787,26.849934816360474,0.004328891502337172,3.445641999587635e-05,2.4339867745154654e-05,1742841240.5525463
24,24,3.248723456985696e-05,30.938984632492065,27.874483585357666,0.003986304855621931,2.003990807440834e-05,1.2447326495448622e-05,1742841241.5771465
25,25,2.3384772373063034e-05,31.9594509601593,28.895029067993164,0.0033770231448650863,1.3999864335277163e-05,9.384908037785871e-06,1742841242.5976129
26,26,1.585280791301809e-05,32.98066759109497,29.9162437915802,0.003124678203690265,9.18626782701006e-06,6.666540086008029e-06,1742841243.6188295
27,27,1.185589243467549e-05,34.00316309928894,30.938711881637573,0.0028920580011036227,6.718858316575601e-06,5.137034118099889e-06,1742841244.641325
28,28,9.784935270306422e-06,35.024515867233276,31.96004009246826,0.0026299784340841374,5.3951509094966046e-06,4.389784360809818e-06,1742841245.6626778
29,29,7.389929319407442e-06,36.0491988658905,32.98476004600525,0.002442191128444561,3.5172684173313757e-06,3.872660902076066e-06,1742841246.6873608
30,30,5.137516011024913e-06,37.073911905288696,34.00935077667236,0.001957466398074307,1.6597823053333103e-06,3.477733705691603e-06,1742841247.7120738
31,31,3.118396621009339e-06,38.096381425857544,35.031938791275024,0.0018208230329127227,1.0400090572255364e-06,2.0783875637838025e-06,1742841248.7345433
32,32,2.545870236256809e-06,39.11729907989502,36.05233669281006,0.001753850091801191,8.87599703629193e-07,1.658270532627616e-06,1742841249.755461
33,33,2.4222921568165758e-06,40.140713691711426,37.076247692108154,0.0015681381577522689,7.829625740444817e-07,1.6393295827720943e-06,1742841250.7788756
34,34,1.9051884840077657e-06,41.162118434906006,38.09756350517273,0.001509845862703842,6.495211891620817e-07,1.255667294845684e-06,1742841251.8002803
35,35,1.8501978025408995e-06,42.18228077888489,39.11784291267395,0.0011986764464341475,6.255881519087759e-07,1.2246096506321237e-06,1742841252.8204427
36,36,1.3052577691304226e-06,43.203569650650024,40.13907551765442,0.0010321573818804514,5.159932163691545e-07,7.892645527612681e-07,1742841253.8417315
37,37,1.1112101243775693e-06,44.2248752117157,41.16041922569275,0.0010130339878849511,4.7144784492124396e-07,6.397622794563254e-07,1742841254.863037
38,38,9.010779116916815e-07,45.245439291000366,42.18096208572388,0.0009551031285864233,3.762109116838626e-07,5.248670000078188e-07,1742841255.8836012
39,39,8.248307651332791e-07,46.266523361206055,43.202096939086914,0.0008815762976239098,3.417416585316586e-07,4.830891066016205e-07,1742841256.9046853
