_step,_runtime,l2_error,_timestamp,time,loss_boundary,loss_interior,loss,step
0,3.990358352661133,1.5947117829713766,1742608323.1981013,1.1031677722930908,1.5480622822617889,123.25134859863059,124.79941088089237,0
1,4.025286912918091,1.5930900111085886,1742608323.2330298,1.3873424530029297,1.5965592352231206,123.00368450812634,124.60024374334947,1
2,4.0525712966918945,1.590873843424185,1742608323.2603142,1.413686990737915,1.667266192664172,117.54968183389914,119.21694802656332,2
3,4.077397346496582,1.5880628533655763,1742608323.2851403,1.438330888748169,1.543127759901106,119.97038524417965,121.51351300408076,3
4,4.10134482383728,1.5848239539486573,1742608323.3090878,1.4623897075653076,1.5129272029934275,122.31740380987424,123.83033101286766,4
5,4.132669925689697,1.5812171904423666,1742608323.3404129,1.4939675331115723,1.487552750615162,120.91598671065321,122.40353946126838,5
6,4.157805681228638,1.577376064317954,1742608323.3655486,1.518873691558838,1.5193299219230367,125.32036582108431,126.83969574300734,6
7,4.187334299087524,1.5731660561661787,1742608323.3950772,1.5483191013336182,1.558946413918317,121.64429069728297,123.20323711120129,7
8,4.212673902511597,1.5687293072619428,1742608323.4204168,1.573803424835205,1.5075250523259929,119.7244013177555,121.23192637008148,8
9,4.238890171051025,1.5640142495234544,1742608323.446633,1.5983049869537354,1.4855719955418494,115.46011328130238,116.94568527684423,9
10,4.26315975189209,1.5588973026707742,1742608323.4709027,1.6242012977600098,1.440858362139378,122.98967459831096,124.43053296045034,10
11,4.290698289871216,1.553352078050011,1742608323.4984412,1.6517322063446045,1.3842431513513254,121.00076539520099,122.38500854655231,11
12,4.315292835235596,1.5472669687391263,1742608323.5230358,1.6763341426849365,1.4100016079965931,118.90814232838662,120.31814393638321,12
13,4.338447570800781,1.5404633246858286,1742608323.5461905,1.7012367248535156,1.3924292393350952,121.78123722921451,123.17366646854961,13
14,4.375850200653076,1.5325772040412173,1742608323.5835931,1.7415001392364502,1.4932190195703425,125.35548625235663,126.84870527192697,14
15,4.407445192337036,1.5232923551723527,1742608323.6151881,1.7707371711730957,1.4277469789625312,124.14801820936349,125.57576518832602,15
16,4.430069446563721,1.5121304488408625,1742608323.6378124,1.7932655811309814,1.3507327893746217,122.69431503884246,124.04504782821708,16
17,4.452881813049316,1.4985568671019276,1742608323.6606247,1.816147804260254,1.2525851708158848,122.41274262391089,123.66532779472678,17
18,4.4795684814453125,1.48162441206567,1742608323.6873114,1.8429644107818604,1.2295063726845068,120.52149307811791,121.75099945080242,18
19,4.502581357955933,1.4603654742747403,1742608323.7103243,1.8660545349121094,1.146343974756054,121.44251534954194,122.58885932429799,19
20,4.524056911468506,1.4329738913774528,1742608323.7317998,1.8876712322235107,1.228951940379809,117.68155076175643,118.91050270213624,20
21,4.546694278717041,1.3968121352687606,1742608323.7544372,1.9101295471191406,1.2157736678684143,114.95847338172271,116.17424704959113,21
22,4.56871771812439,1.3462991332685246,1742608323.7764606,1.9321568012237549,1.1432545159346383,117.82409447688556,118.9673489928202,22
23,4.591324090957642,1.2713376897242679,1742608323.799067,1.9547607898712158,1.1155059013012731,116.01085437597567,117.12636027727694,23
24,4.615602016448975,1.1516966313391996,1742608323.823345,1.9791004657745361,0.9474310660521005,113.23602258095816,114.18345364701027,24
25,4.638293981552124,0.973098389660416,1742608323.846037,2.001692533493042,0.7736309440880462,107.4474240392736,108.22105498336164,25
26,4.661055326461792,0.881596477188348,1742608323.8687983,2.024614095687866,0.5361226676473029,97.83380862033187,98.36993128797917,26
27,4.683422327041626,1.5988037851172487,1742608323.8911653,2.046720027923584,0.48894108916701334,67.20291783371897,67.69185892288598,27
28,4.708088159561157,2.3903771442772284,1742608323.915831,2.0712616443634033,1.5386742917401592,87.12294350026026,88.66161779200043,28
29,4.73072624206543,2.44496622282865,1742608323.9384692,2.093888282775879,2.6219790509856455,100.5839934735115,103.20597252449714,29
30,4.752535581588745,1.1857147862380746,1742608323.9602785,2.1159136295318604,2.7511413606890773,123.17449057641439,125.92563193710346,30
31,4.7741968631744385,1.4037613866066996,1742608323.9819398,2.137681484222412,0.7935065877014859,93.66080851887476,94.45431510657625,31
32,4.798614263534546,1.6932305512372114,1742608324.0063572,2.1620655059814453,1.127288878002319,101.71292943976339,102.8402183177657,32
33,4.821190595626831,1.7891707035901592,1742608324.0289335,2.184515953063965,1.7380143991045558,117.80470313995531,119.54271753905986,33
34,4.843844413757324,1.7773986409385794,1742608324.0515873,2.2072224617004395,1.8072501131539533,110.03658007082542,111.84383018397938,34
35,4.865580797195435,1.657418563706248,1742608324.0733237,2.2289538383483887,1.7715714930529534,115.77451860883271,117.54609010188567,35
36,4.888333320617676,1.4548971490156415,1742608324.0960763,2.251681089401245,1.586809810165157,106.09895429166261,107.68576410182777,36
37,4.9103851318359375,1.4840834964836522,1742608324.118128,2.2737157344818115,1.1914952743531364,94.67367955253502,95.86517482688815,37
38,4.932262659072876,1.4642101520039916,1742608324.1400056,2.2954394817352295,1.4441603635473854,98.3670227968065,99.81118316035388,38
39,4.954241514205933,1.1076410022103473,1742608324.1619844,2.3176119327545166,1.0435821979533804,90.51159798123173,91.55518017918511,39
40,4.976682186126709,0.9920818175174674,1742608324.184425,2.340052604675293,0.7233827612219784,85.92421809159119,86.64760085281317,40
