step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,124.79941088089237,4.881502151489258,2.0032901763916016,1.5985379933132307,123.25134859863059,1.5480622822617889,1743459280.9073892
1,1,124.34550365451506,5.514437437057495,2.901118516921997,1.6077177942885736,122.7407686748488,1.6047349796662596,1743459281.5403244
2,2,118.55857445936596,6.143218994140625,3.5309691429138184,1.6352616841158747,116.85959216972174,1.6989822896442193,1743459282.169106
3,3,118.57479750606302,6.772077322006226,4.1598241329193115,1.7360251691103843,116.97138241658025,1.603415089482773,1743459282.7979643
4,4,117.25851351932361,7.398854732513428,4.786683797836304,1.750051604264708,115.47813043783337,1.7803830814902375,1743459283.4247417
5,5,109.8992324692347,8.023783445358276,5.411480665206909,1.2848752105310524,108.1768951087731,1.7223373604616123,1743459284.0496705
6,6,67.29589970008458,8.647358417510986,6.035262107849121,1.4019920292795929,66.32704927467704,0.9688504254075353,1743459284.6732454
7,7,45.18518255864781,9.271345853805542,6.659146308898926,0.9480751448839485,43.991930277117106,1.193252281530707,1743459285.2972329
8,8,26.30496736410592,9.895273923873901,7.2830939292907715,0.8659233776317917,25.76095731392542,0.5440100501804993,1743459285.921161
9,9,5.912914994026642,10.520005941390991,7.907729148864746,0.8923954151549902,5.374127013304735,0.5387879807219071,1743459286.545893
10,10,3.5942881444846244,11.145895719528198,8.533711433410645,0.4609282993445277,3.098042938659234,0.49624520582539045,1743459287.1717827
11,11,1.0933240777700617,11.770033359527588,9.157877683639526,0.17747932771784494,0.9805747774071372,0.11274930036292452,1743459287.7959204
12,12,0.26526689055467956,12.401004552841187,9.788743495941162,0.22412837472701896,0.2458950098903371,0.019371880664342457,1743459288.4268916
13,13,0.05183743401015269,13.02889347076416,10.416684865951538,0.048294265888261675,0.023802054232585676,0.028035379777567017,1743459289.0547805
14,14,0.00993205946672014,13.656759262084961,11.044215202331543,0.04734040749496849,0.008256479761628329,0.001675579705091811,1743459289.6826463
15,15,0.003268136505211333,14.286338567733765,11.673938035964966,0.03178813362144985,0.0019316360965231359,0.001336500408688197,1743459290.3122256
16,16,0.0009661437923252311,14.921810865402222,12.309614896774292,0.02670083467938137,0.0004260556053232313,0.0005400881870019997,1743459290.9476979
17,17,0.0005995013732943731,15.54970097541809,12.937217950820923,0.019837340342882044,0.00019470445878374024,0.0004047969145106328,1743459291.575588
18,18,0.0003822377550354966,16.17666506767273,13.564465761184692,0.01185859376320089,0.00017501789607279644,0.00020721985896270012,1743459292.202552
19,19,0.00015258075891262933,16.806223392486572,14.194026470184326,0.009939257698296873,7.350621215997615e-05,7.907454675265318e-05,1743459292.8321104
20,20,7.931680196274805e-05,17.430277824401855,14.818050384521484,0.008209033368266986,2.4903797280991493e-05,5.441300468175656e-05,1743459293.4561648
21,21,4.8486822799683045e-05,18.050330638885498,15.438139200210571,0.005846521115432814,1.3377968836697125e-05,3.510885396298592e-05,1743459294.0762177
22,22,2.669047288854343e-05,18.659019231796265,16.04685878753662,0.004347523530771094,8.971441444807367e-06,1.7719031443736064e-05,1743459294.6849062
23,23,1.530003093180938e-05,19.26652479171753,16.654371738433838,0.0028927361305942337,5.868379973048616e-06,9.431650958760762e-06,1743459295.2924118
24,24,7.4435129741727894e-06,19.874547719955444,17.262303113937378,0.002340737785504079,3.0783238276770944e-06,4.365189146495695e-06,1743459295.9004347
25,25,5.481714418777191e-06,20.483827590942383,17.871586322784424,0.002051452437731303,2.6603078406218685e-06,2.821406578155322e-06,1743459296.5097146
26,26,4.395247517480117e-06,21.092082500457764,18.479829788208008,0.0015092589146358327,2.3016968364360634e-06,2.0935506810440532e-06,1743459297.1179695
27,27,3.428862894446639e-06,21.714661598205566,19.102473497390747,0.0013356215859600031,2.074694239871424e-06,1.354168654575215e-06,1743459297.7405486
28,28,2.376827351832058e-06,22.337382555007935,19.725208520889282,0.001321690723529244,1.4132959254188157e-06,9.635314264132424e-07,1743459298.3632696
29,29,1.8948484408414129e-06,22.956162452697754,20.343979835510254,0.0011191178983914478,9.736628526201116e-07,9.211855882213013e-07,1743459298.9820495
30,30,1.2450513891545455e-06,23.567760229110718,20.95553946495056,0.0005766273891003149,6.149045805341726e-07,6.301468086203729e-07,1743459299.5936472
31,31,9.505082520139774e-07,24.175022840499878,21.562782287597656,0.0006203028744920808,7.613548834368575e-07,1.8915336857711995e-07,1743459300.2009099
32,32,7.207320364245559e-07,24.78336215019226,22.17114496231079,0.0005962762225728357,5.016596302007954e-07,2.190724062237605e-07,1743459300.8092492
33,33,6.970199677935275e-07,25.391881227493286,22.779642581939697,0.0005761966797976013,4.895719277838431e-07,2.0744804000968448e-07,1743459301.4177682
34,34,6.264621005470256e-07,26.00044822692871,23.388217210769653,0.0004815208220247424,4.3777414125815396e-07,1.8868795928887165e-07,1743459302.0263352
35,35,5.11718396818508e-07,26.609729051589966,23.9972984790802,0.00029866793897935067,3.7472301125814057e-07,1.3699538556036744e-07,1743459302.635616
36,36,3.415126691494678e-07,27.231507062911987,24.61929702758789,0.0002879777305651023,2.88996736429701e-07,5.251593271976681e-08,1743459303.257394
37,37,2.797604822473553e-07,27.85984969139099,25.24739694595337,0.0002501682062802455,2.3634678650485446e-07,4.34136957425008e-08,1743459303.8857367
38,38,2.611642970812695e-07,28.493974208831787,25.881788969039917,0.00025150469012782343,2.2096031680574588e-07,4.0203980275523586e-08,1743459304.5198612
39,39,2.2499110856889332e-07,29.121051788330078,26.508851289749146,0.00022901482245161697,1.8666761899585966e-07,3.8323489573033676e-08,1743459305.1469388
