loss_boundary,step,_step,loss,_runtime,l2_error,loss_interior,time,_timestamp
1.5480622822617889,0,0,124.79941088089237,23.991740703582764,1.5975119366715618,123.25134859863059,20.401325225830078,1743221787.5395398
1.6038585527251759,1,1,124.40681146147148,43.355916261672974,1.5841593082609937,122.8029529087463,40.43884873390198,1743221806.9037154
1.5884926487086988,2,2,112.33065836823103,56.506006479263306,1.465100940235262,110.74216571952233,53.59293055534363,1743221820.0538056
1.290444193490274,3,3,105.51873016386224,68.82273840904236,1.3985538597863476,104.22828597037197,65.91001629829407,1743221832.3705375
1.1903262429994048,4,4,92.04192057303199,80.42722678184509,1.399480472671948,90.85159433003258,77.51439905166626,1743221843.975026
1.1424807378498432,5,5,91.20467742825622,92.63725662231445,1.1934900923336056,90.06219669040638,89.72414827346802,1743221856.1850557
0.8603742834809817,6,6,78.24830714226105,104.25821781158447,1.3602064296410372,77.38793285878008,101.34487700462341,1743221867.806017
1.0067630299790655,7,7,74.22792351080449,115.27656173706055,1.2069830940852597,73.22116048082542,112.36370944976807,1743221878.8243608
0.8606354664478285,8,8,63.40514600137438,125.784259557724,1.2158910565220618,62.54451053492655,122.87135243415833,1743221889.3320587
0.8657916532612226,9,9,58.60866131916245,136.1974892616272,1.3919593178189928,57.74286966590123,133.2843050956726,1743221899.7452884
1.0321370533938832,10,10,39.78245084274618,146.41554927825928,1.0109051751754354,38.7503137893523,143.50222539901733,1743221909.9633484
0.566354057135492,11,11,22.391250814941984,156.70833659172058,1.011582174310309,21.824896757806492,153.79542589187622,1743221920.2561357
0.573037830533088,12,12,19.993729660131727,166.9890594482422,1.2644004513948415,19.42069182959864,164.07609486579895,1743221930.5368586
0.9387455559291229,13,13,14.944073669735456,177.4599254131317,1.2406759626804145,14.005328113806334,174.54664039611816,1743221941.0077245
0.8781243360250645,14,14,14.784523063668548,187.5086648464203,1.251772965216265,13.906398727643483,184.59555006027222,1743221951.056464
0.8830703616371353,15,15,14.479077138157898,197.9835910797119,1.164952040196094,13.596006776520763,195.06974983215332,1743221961.5313902
0.6633289027837136,16,16,13.621379593925857,208.21083617210388,0.9443238700158337,12.958050691142143,205.29748702049255,1743221971.7586353
0.4534606451145106,17,17,9.161189616289668,218.20394349098206,0.8393950317126443,8.707728971175158,215.29044437408447,1743221981.7517426
0.3285484811408954,18,18,7.750028645540028,228.38738250732422,1.1343451293997484,7.421480164399132,225.4742488861084,1743221991.9351816
0.656935508269629,19,19,5.863927827772114,238.99302625656128,1.134316250713462,5.206992319502485,236.0795419216156,1743222002.5408254
0.6230835085523183,20,20,5.50778317021061,249.34926748275757,1.1032722795366854,4.884699661658291,246.43618178367615,1743222012.8970666
0.5774018664114181,21,21,5.3306589631693555,259.72756147384644,0.8214049022578475,4.753257096757937,256.81460642814636,1743222023.2753606
0.3345055923113716,22,22,3.959120930627103,270.25772881507874,0.805728383740923,3.6246153383157313,267.34475445747375,1743222033.805528
0.31269766413341643,23,23,3.775751071769558,280.7670340538025,0.8036780769456032,3.4630534076361417,277.85339975357056,1743222044.3148332
0.31942898245733364,24,24,3.7156349768315344,290.9760389328003,0.9658306328394032,3.396205994374201,288.063170671463,1743222054.523838
0.48887264703760985,25,25,3.0528124682686735,301.0633497238159,0.8498978752995561,2.5639398212310636,298.1504645347595,1743222064.6111488
0.3855345131498142,26,26,2.8441553268571607,310.74594736099243,0.8698250426328701,2.4586208137073466,307.83301854133606,1743222074.2937465
0.4193219977571106,27,27,2.7083821688657648,320.9629805088043,0.737895291840059,2.289060171108654,318.0500535964966,1743222084.5107796
0.28045719538821234,28,28,2.294096598925812,330.96020245552063,0.7378707978445803,2.0136394035375997,328.0466573238373,1743222094.5080016
0.2852458537996658,29,29,2.2207851006703887,341.1381719112396,0.7333260340616669,1.935539246870723,338.2251033782959,1743222104.685971
0.27668526320794773,30,30,2.3978715041437866,351.2860155105591,0.7315350347711949,2.1211862409358386,348.37311935424805,1743222114.8338146
0.2957753757298358,31,31,2.2301586519648797,361.39636063575745,0.6690669753543333,1.9343832762350441,358.48342728614807,1743222124.9441597
0.2414575412410843,32,32,1.9163790492107398,371.59892225265503,0.41633210066781806,1.6749215079696556,368.6856803894043,1743222135.1467214
0.09514031512798884,33,33,1.2899540308927002,381.90466260910034,0.38895564517163755,1.1948137157647114,378.9914507865906,1743222145.4524617
0.08685873102621391,34,34,1.1483002216658946,392.072224855423,0.3831872869573284,1.0614414906396807,389.1593096256256,1743222155.620024
0.0809372306818396,35,35,1.188841842791937,402.3406116962433,0.3441966962690124,1.1079046121100973,399.4275870323181,1743222165.8884108
0.06707861652202922,36,36,1.0650428131989318,412.2470872402191,0.3233461841476307,0.9979641966769026,409.33419966697693,1743222175.7948864
0.05857947421543599,37,37,0.973270981381967,422.2415599822998,0.3315329794762538,0.914691507166531,419.3282308578491,1743222185.789359
0.05805917907010007,38,38,0.9902045942176991,432.8248972892761,0.31621605950976855,0.9321454151475991,429.91155672073364,1743222196.3726964
0.058556917311835543,39,39,0.9465437015894153,442.9639892578125,0.3122354105976486,0.8879867842775797,440.0510106086731,1743222206.5117884
0.05255702983127979,40,40,0.9090791303040086,452.8532681465149,0.309510630895832,0.8565221004727288,449.9403727054596,1743222216.4010673
0.05212689239532455,42,41,0.825828333993916,473.2002456188202,0.3126897866931306,0.7737014415985914,470.28724193573,1743222236.7480447
0.02201061561093615,46,42,0.46485459751208286,514.3973541259766,0.17045779953640483,0.4428439819011467,511.4842014312744,1743222277.9451532
