step,time,_runtime,l2_error,_timestamp,loss,loss_interior,_step,loss_boundary
208,268.5138177871704,271.4739022254944,1.7873802640339585e-05,1743444278.2775662,5.203369163237395e-10,2.9613904849263516e-10,58,2.241978678311044e-10
229,295.2958450317383,298.25568556785583,1.3579699062444003e-05,1743444305.0593495,4.0818709469548586e-10,2.7064576499545086e-10,59,1.3754132970003503e-10
252,324.65580320358276,327.6158616542816,1.1932623083589725e-05,1743444334.4195256,3.157176732302288e-10,1.9632925461805703e-10,60,1.1938841861217178e-10
277,356.5675299167633,359.52758145332336,1.0546499724722439e-05,1743444366.3312454,2.446195445460972e-10,1.5762666353770467e-10,61,8.699288100839257e-11
305,392.3307456970215,395.29085087776184,9.872102700267075e-06,1743444402.0945148,2.360223845557044e-10,1.4990065223336043e-10,62,8.612173232234396e-11
335,430.6423850059509,433.60247468948364,9.500094802325175e-06,1743444440.4061387,1.6578164471254035e-10,9.594940020160691e-11,63,6.983224451093343e-11
369,474.1373019218445,477.09738206863403,6.502274776030296e-06,1743444483.901046,1.1729745439721613e-10,7.552745919671855e-11,64,4.176999520049758e-11
406,521.4647057056427,524.424978017807,6.463926719953404e-06,1743444531.228642,1.0269901990614696e-10,6.662068965754872e-11,65,3.6078330248598236e-11
446,572.6505122184753,575.6105604171753,5.321485069391895e-06,1743444582.4142244,8.13094953113325e-11,5.3828049993747486e-11,66,2.7481445317585006e-11
491,630.1841433048248,633.1441440582275,5.436820992182752e-06,1743444639.947808,8.429591934808262e-11,5.151553733652218e-11,67,3.2780382011560434e-11
540,692.8353283405304,695.7963681221008,4.711002276817398e-06,1743444702.600032,7.455008835149555e-11,4.786544673297461e-11,68,2.668464161852094e-11
594,761.8981082439423,764.8581397533417,3.2940354769132447e-06,1743444771.6618037,6.269723652166295e-11,4.665280114881908e-11,69,1.6044435372843862e-11
653,837.3275318145752,840.2877249717712,3.943509026294841e-06,1743444847.091389,6.216935253475216e-11,4.086431501632532e-11,70,2.130503751842684e-11
718,920.4481527805328,923.4082379341125,3.00151566678182e-06,1743444930.211902,6.36344600875653e-11,4.7845124154077405e-11,71,1.5789335933487886e-11
