step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,124.79941088089237,6.18316650390625,2.5978891849517822,1.5955308151771563,123.25134859863059,1.5480622822617889,1742838200.5898435
1,1,124.61154723684349,7.2233476638793945,4.472569227218628,1.6556173154185636,123.01318211912336,1.5983651177201406,1742838201.6300247
2,2,118.33599200352965,8.253472566604614,5.501189231872559,1.6429624554393956,116.52684081474187,1.8091511887877794,1742838202.6601496
3,3,119.6574680180376,9.295952796936035,6.544891357421875,1.654672021751322,118.03245276121535,1.6250152568222451,1742838203.7026298
4,4,116.08065579323033,10.332658767700195,7.581942558288574,1.4366686240872355,114.39582774881322,1.6848280444171202,1742838204.7393358
5,5,90.05546141232928,11.375941038131714,8.624691486358643,1.3012861598172596,88.83074691562076,1.2247144967085155,1742838205.782618
6,6,37.504510710644844,12.40998125076294,9.659300327301025,1.0324570606285162,36.454576145775334,1.0499345648695109,1742838206.8166583
7,7,11.673706028732786,13.447468280792236,10.696793556213379,0.49402036643793557,10.917831305956298,0.7558747227764874,1742838207.8541453
8,8,3.1080110082276393,14.48141074180603,11.73051118850708,0.44081085266079945,2.9490417998177603,0.1589692084098792,1742838208.8880877
9,9,0.8772430206064168,15.513322830200195,12.762569189071655,0.6957909775215879,0.765830528984835,0.1114124916215819,1742838209.9199998
10,10,0.5287108829347331,16.541829109191895,13.791120529174805,0.46941832183814297,0.290639816268659,0.23807106666607417,1742838210.948506
11,11,0.2251111535264192,17.57359504699707,14.822177648544312,0.4099497153862912,0.1155323125327244,0.10957884099369478,1742838211.980272
12,12,0.1564516948996704,18.604671955108643,15.853825092315674,0.3683630124956646,0.0715124890053878,0.0849392058942826,1742838213.011349
13,13,0.11982852194766622,19.63439965248108,16.883675813674927,0.3133532472766727,0.0494305536048001,0.07039796834286612,1742838214.0410767
14,14,0.08519865036096254,20.667439460754395,17.91671919822693,0.26908044620808175,0.03474603453869174,0.0504526158222708,1742838215.0741165
15,15,0.060481707469055276,21.698693990707397,18.94796109199524,0.23677756233046207,0.023387855571019182,0.037093851898036094,1742838216.105371
16,16,0.043897108626543176,22.731791019439697,19.981121063232422,0.2033371256310392,0.015530534391436345,0.028366574235106832,1742838217.138468
17,17,0.032105552917115254,23.762542009353638,21.011770963668823,0.15290176173617112,0.011375904267536744,0.02072964864957851,1742838218.169219
18,18,0.01965945415419562,24.78607177734375,22.0353364944458,0.12224122599938071,0.008260072804926187,0.011399381349269433,1742838219.1927488
19,19,0.01160482236263196,25.817749977111816,23.066136837005615,0.10191408633783336,0.003951891820840107,0.007652930541791853,1742838220.224427
20,20,0.008349599319041529,26.84930157661438,24.09864830970764,0.07969223861690065,0.002947154699533418,0.005402444619508111,1742838221.2559786
21,21,0.005673233038086018,27.87941288948059,25.128512620925903,0.07231304375987078,0.0023322816712874153,0.0033409513667986023,1742838222.28609
22,22,0.004033854341355488,28.91079592704773,26.160090923309326,0.05244355864651715,0.0015460185959498835,0.0024878357454056043,1742838223.317473
23,23,0.002650398308142291,29.938918590545654,27.18819785118103,0.033031961097539767,0.0012837810116887638,0.0013666172964535276,1742838224.3455956
24,24,0.0010271079495235182,30.97531294822693,28.22457456588745,0.023984192185184793,0.0004506983831017508,0.0005764095664217674,1742838225.38199
25,25,0.0005941423277645687,32.0024471282959,29.251763343811035,0.011205624110572758,0.0003131251704840538,0.0002810171572805149,1742838226.4091241
26,26,0.0002468308705463474,33.01860857009888,30.26789093017578,0.008265139768390616,0.00018520405758182642,6.162681296452095e-05,1742838227.4252856
27,27,0.0001262425284995205,34.03530192375183,31.28455090522766,0.006851191831987467,9.123690634674358e-05,3.5005622152776916e-05,1742838228.441979
28,28,9.402988466247381e-05,35.05176258087158,32.301074266433716,0.005542508771399311,6.868715398493455e-05,2.534273067753927e-05,1742838229.4584396
29,29,6.472528908130546e-05,36.067914962768555,33.31721806526184,0.003945759592076224,4.8966222462824514e-05,1.575906661848095e-05,1742838230.474592
30,30,4.352680824828837e-05,37.08670473098755,34.33601379394531,0.0014513131518713515,3.593502294121648e-05,7.591785307071893e-06,1742838231.4933817
31,31,1.6348391162943667e-05,38.1033616065979,35.35265803337097,0.0012715250952952785,1.4938472498303624e-05,1.409918664640042e-06,1742838232.5100386
32,32,1.0549692196344854e-05,39.12204575538635,36.37133502960205,0.0013264914395128239,9.483801937716212e-06,1.0658902586286431e-06,1742838233.5287228
33,33,9.460708608597739e-06,40.138527393341064,37.387839794158936,0.0012021159100809166,8.390480014409688e-06,1.0702285941880516e-06,1742838234.5452044
34,34,6.102284659347334e-06,41.156965017318726,38.405991554260254,0.001474860602395307,5.199814586515307e-06,9.024700728320267e-07,1742838235.563642
35,35,4.258901106413426e-06,42.19171380996704,39.440767765045166,0.0008919640035332776,3.079569421357236e-06,1.17933168505619e-06,1742838236.5983908
36,36,2.6123012638420918e-06,43.22515034675598,40.47410440444946,0.0008749775880542132,2.142205138174617e-06,4.7009612566747475e-07,1742838237.6318274
37,37,2.1752282887406093e-06,44.247458696365356,41.49648928642273,0.0010556574306657175,1.7145462020839418e-06,4.6068208665666744e-07,1742838238.6541357
38,38,1.828665992299608e-06,45.26694440841675,42.515862226486206,0.0010238916001759533,1.1916576860062456e-06,6.370083062933624e-07,1742838239.6736214
39,39,1.420510732327695e-06,46.288034439086914,43.53677487373352,0.0009848223070054755,8.628335351893443e-07,5.576771971383507e-07,1742838240.6947114
40,40,1.295734749756722e-06,47.31154942512512,44.56022787094116,0.0009773195117262887,7.809155427643314e-07,5.148192069923906e-07,1742838241.7182264
42,41,1.1390173931232663e-06,49.36526966094971,46.6137056350708,0.0007944631346589972,6.513656105140626e-07,4.876517826092037e-07,1742838243.7719467
46,42,3.380303034951788e-07,53.46424674987793,50.712218284606934,0.00029477777362914124,2.6999499961583634e-07,6.803530387934245e-08,1742838247.8709238
50,43,1.70680837492897e-07,57.55132722854614,54.79923963546753,0.00024246210297225766,1.2718686700097338e-07,4.3493970491923625e-08,1742838251.9580042
55,44,9.922879088044525e-08,62.68346166610718,59.93263292312622,0.00015349777854851979,6.595353804701241e-08,3.3275252833432833e-08,1742838257.0901387
61,45,3.762861189737161e-08,68.9013659954071,66.15017867088318,0.0001435294837008787,2.5117468052113715e-08,1.2511143845257893e-08,1742838263.308043
67,46,2.562649775215173e-08,75.04573488235474,72.29485511779785,0.00012761393143874466,1.512670854166761e-08,1.0499789210484121e-08,1742838269.452412
73,47,1.7806725023806255e-08,81.19724225997925,78.44612431526184,8.354481443461335e-05,1.0926609804368735e-08,6.88011521943752e-09,1742838275.6039193
81,48,1.0673163656673285e-08,89.40451884269714,86.6534206867218,7.942997223355269e-05,7.153552429530957e-09,3.5196112271423287e-09,1742838283.8111959
89,49,4.707946614172894e-09,97.6316876411438,94.88084387779236,3.707594785508644e-05,3.874789610435053e-09,8.331570037378408e-10,1742838292.0383646
98,50,2.954121834342582e-09,106.88856983184814,104.13775134086609,2.729517935836542e-05,2.4105207370847033e-09,5.436010972578784e-10,1742838301.2952468
107,51,2.1603384022546697e-09,116.12476658821106,113.37364768981934,2.6704859495590836e-05,1.6869115968830575e-09,4.734268053716122e-10,1742838310.5314436
118,52,1.3695889446068991e-09,127.42114543914795,124.67022013664246,1.8464537839175816e-05,1.1197613414467848e-09,2.498276031601144e-10,1742838321.8278224
130,53,1.1094235386589526e-09,139.74985647201538,136.99902868270874,1.784687509611919e-05,8.891305670525682e-10,2.2029297160638438e-10,1742838334.1565335
143,54,7.09940680604868e-10,153.09655046463013,150.345805644989,2.0097932846100598e-05,4.6198515230346203e-10,2.4795552830140594e-10,1742838347.5032275
157,55,4.793529846361418e-10,167.49261617660522,164.74103164672852,1.097611140188026e-05,3.823143914541125e-10,9.703859318202937e-11,1742838361.8992932
172,56,3.081819722132446e-10,182.89131450653076,180.1402931213379,8.760847891489783e-06,2.5834066549297785e-10,4.984130672026675e-11,1742838377.2979915
190,57,2.4527061742693124e-10,201.47918462753296,198.72777366638184,7.5668727156644674e-06,2.010845474820059e-10,4.4186069944925324e-11,1742838395.8858616
208,58,1.4844327776847442e-10,220.08594918251038,217.33449339866638,3.7808434003628073e-06,1.349840443174567e-10,1.3459233451017698e-11,1742838414.4926262
229,59,1.095338668634932e-10,241.59447121620178,238.84298086166382,3.868498007159476e-06,9.708867714271172e-11,1.244518972078149e-11,1742838436.0011482
252,60,7.546870706928152e-11,265.0419692993164,262.28995966911316,4.26357762837721e-06,6.177894927284757e-11,1.3689757796433946e-11,1742838459.4486463
277,61,5.5863756921934745e-11,290.675493478775,287.92445826530457,3.787182829549484e-06,4.448563470516084e-11,1.13781222167739e-11,1742838485.0821705
305,62,4.387574696669643e-11,319.17077922821045,316.4197897911072,3.27874912008549e-06,3.495189248439237e-11,8.923854482304063e-12,1742838513.5774562
335,63,3.63354492677849e-11,349.5901675224304,346.83897709846497,3.2308759039148907e-06,2.7797238274718448e-11,8.538210993066451e-12,1742838543.9968445
369,64,2.4280458495194787e-11,384.32007336616516,381.56897807121277,2.3733738446884963e-06,1.884297184692057e-11,5.4374866482742195e-12,1742838578.7267504
406,65,2.2470838665239726e-11,421.93060326576233,419.17953085899353,2.0653471073288367e-06,1.8021493669282337e-11,4.449344995957389e-12,1742838616.3372803
446,66,1.8653477799091354e-11,462.43385910987854,459.6828544139862,2.2273873619559604e-06,1.4422672792775342e-11,4.230805006316011e-12,1742838656.840536
491,67,1.3943577108389297e-11,507.9893465042114,505.2383544445038,1.4569814767336092e-06,1.1094252191282678e-11,2.8493249171066208e-12,1742838702.3960235
540,68,1.3042802790241655e-11,557.5948786735535,554.8436455726624,1.512802952930266e-06,9.951891588604639e-12,3.0909112016370164e-12,1742838752.0015557
594,69,1.1018209165311562e-11,612.2619919776917,609.5109853744507,1.184865231294335e-06,9.32808785920868e-12,1.6901213061028814e-12,1742838806.668669
653,70,1.0157542170235104e-11,672.2360873222351,669.4847984313965,1.306532139810381e-06,6.982760800203394e-12,3.1747813700317112e-12,1742838866.6427643
718,71,9.372913746830938e-12,739.2353491783142,736.4833076000214,1.1463239676798042e-06,7.557494668689513e-12,1.8154190781414248e-12,1742838933.6420262
790,72,9.670265617839839e-12,813.0538430213928,810.3028585910797,1.2935088686762507e-06,7.441196136667467e-12,2.2290694811723717e-12,1742839007.46052
869,73,8.987360322303472e-12,894.0103349685669,891.2592449188232,1.0238393223528625e-06,6.973583904820768e-12,2.0137764174827036e-12,1742839088.417012
956,74,1.0739773122232925e-11,982.64208817482,979.8896696567535,1.1989507405656472e-06,8.834970863462278e-12,1.9048022587706475e-12,1742839177.0487652
1052,75,8.430907294563379e-12,1080.4677290916443,1077.7166833877563,1.1446483552139239e-06,6.453898483304162e-12,1.9770088112592166e-12,1742839274.874406
1157,76,8.702573050309209e-12,1187.4305107593536,1184.679405927658,1.2105817946347258e-06,6.498913615145307e-12,2.2036594351639026e-12,1742839381.8371878
1272,77,7.751811659653142e-12,1304.653470993042,1301.9014110565186,1.1577985136681582e-06,5.99968374100508e-12,1.7521279186480624e-12,1742839499.060148
1400,78,5.9178660006762135e-12,1435.1490528583527,1432.3969209194183,1.0319763869202269e-06,4.2257813077405475e-12,1.692084692935666e-12,1742839629.5557299
1539,79,7.2962403935219e-12,1576.3128967285156,1573.5610792636871,1.0458805157233216e-06,5.520688143287193e-12,1.7755522502347072e-12,1742839770.7195737
1693,80,6.438699417012225e-12,1733.650732755661,1730.89976811409,1.0038953962103368e-06,4.350878877215701e-12,2.087820539796524e-12,1742839928.0574098
1863,81,5.739668041214867e-12,1907.4209251403809,1904.668734073639,8.952429903712992e-07,4.28955309919869e-12,1.4501149420161773e-12,1742840101.8276021
2049,82,5.6579808594188106e-12,2096.6305406093597,2093.8788669109344,8.215983272410484e-07,4.118067298891496e-12,1.5399135605273145e-12,1742840291.0372176
2254,83,5.1230933578540545e-12,2306.055805206299,2303.304646730423,8.648693162972568e-07,3.922468025037647e-12,1.2006253328164073e-12,1742840500.4624822
2479,84,4.982835585976171e-12,2536.072497844696,2533.321055173874,9.783281430500346e-07,3.5699115728325168e-12,1.4129240131436538e-12,1742840730.4791749
2727,85,5.72208168259755e-12,2788.994930267334,2786.2437648773193,1.126055818214885e-06,4.522553662792138e-12,1.199528019805412e-12,1742840983.4016073
3000,86,4.3585988217454794e-12,3067.230384349823,3064.479200363159,7.54106248785192e-07,3.3727172764674566e-12,9.858815452780226e-13,1742841261.6370614
3299,87,3.376035908948788e-12,3372.937529563904,3370.18629527092,6.940474162568824e-07,2.632111602605299e-12,7.439243063434889e-13,1742841567.3442066
3629,88,3.3030957717182804e-12,3710.586404800415,3707.835275411606,6.879178032852931e-07,2.576918039913571e-12,7.261777318047095e-13,1742841904.9930818
3992,89,3.242644649448942e-12,4080.167909383774,4077.4167382717133,7.861050144906841e-07,2.4192649214518653e-12,8.233797279970768e-13,1742842274.5745864
4391,90,3.109762490959511e-12,4486.2089331150055,4483.457964420319,6.084355719207668e-07,2.5633289448261565e-12,5.464335461333546e-13,1742842680.6156101
4831,91,2.6391758359059782e-12,4934.913523674011,4932.16233086586,5.637691458702136e-07,2.069748360277541e-12,5.694274756284374e-13,1742843129.3202007
5314,92,2.6547681646271456e-12,5424.799688577652,5422.048219203949,6.070130722423799e-07,2.1820709713831556e-12,4.726971932439899e-13,1742843619.2063656
5845,93,2.0550768861989313e-12,5963.860398054123,5961.109199523926,5.62224716336088e-07,1.6230731137382852e-12,4.320037724606461e-13,1742844158.267075
6429,94,2.273092037912055e-12,6559.271259069443,6556.5196278095245,5.178476384410547e-07,1.7312676030453012e-12,5.41824434866754e-13,1742844753.677936
6866,95,2.305207275551139e-12,7002.924941539764,7000.174053192139,6.175426258113896e-07,1.7898440562315582e-12,5.153632193195809e-13,1742845197.3316185
