_step,_runtime,step,_timestamp,loss_interior,time,loss_boundary,loss,l2_error
0,4.329156875610352,0,1743227463.9350529,123.25134859863059,1.2716715335845947,1.5480622822617889,124.79941088089237,1.5955122172853817
1,4.549251317977905,1,1743227464.1551473,123.01450249449452,1.7492382526397705,1.598335412171707,124.61283790666623,1.5987942223918705
2,4.859537601470947,2,1743227464.4654336,117.48323760689635,2.057619571685791,1.6918168058630523,119.17505441275941,1.5396550642294762
3,5.242177724838257,3,1743227464.8480737,115.86203172570364,2.4419491291046143,1.3616188888386418,117.2236506145423,1.9787789434658811
4,5.9893786907196045,4,1743227465.5952747,104.745008269111,3.188920259475708,2.2135631660560677,106.95857143516706,4.302232821719879
5,6.998834133148193,5,1743227466.6047301,96.67779365701216,4.198381423950195,8.867433923741912,105.54522758075407,2.2387856139761304
6,7.931615829467773,6,1743227467.5375118,82.5428320831089,5.130964279174805,3.114584353680698,85.6574164367896,0.8208234749697544
7,9.627403497695923,7,1743227469.2332995,13.843238997722963,6.826884031295776,0.48234445065207504,14.325583448375038,0.8314819089301142
8,11.119245290756226,8,1743227470.7251413,2.3862051690823494,8.31874418258667,0.417716248711437,2.803921417793786,0.12027794053819954
9,12.716710805892944,9,1743227472.3226068,0.30729587371598666,9.916115760803223,0.013876492758753009,0.3211723664747397,0.07112234619355397
10,14.590793132781982,10,1743227474.1966891,0.036872846516383236,11.789988994598389,0.0045612290921085335,0.04143407560849177,0.050209319849588
11,16.787400245666504,11,1743227476.3932962,0.021207880667242964,13.985741138458252,0.002384289329465104,0.023592169996708066,0.034712107599741124
12,19.809709072113037,12,1743227479.415605,0.009502260514184246,17.009238719940186,0.0012026810029067134,0.01070494151709096,0.02550757464964371
13,22.860716342926025,13,1743227482.4666123,0.006581090717691246,20.060182094573975,0.0006027082747300967,0.007183798992421343,0.020715243517657817
14,26.54322385787964,14,1743227486.1491199,0.0047033602973778526,23.742567777633667,0.0004538120375644865,0.005157172334942339,0.02145602758005822
15,30.35758662223816,15,1743227489.9634826,0.0035960398786706476,27.557153701782227,0.0005029930277431274,0.004099032906413775,0.025128761200283966
16,34.117456912994385,16,1743227493.723353,0.0037445547157847264,31.316704988479614,0.0004180589704272054,0.004162613686211932,0.017499137341522072
17,36.78495931625366,17,1743227496.3908553,0.0025808582402226366,33.98452091217041,0.00028575125360818826,0.0028666094938308248,0.013890340797166714
18,42.24977350234985,18,1743227501.8556695,0.00213138247492375,39.4492552280426,0.00015475778949818175,0.0022861402644219317,0.012408738524339758
19,46.18634796142578,19,1743227505.792244,0.002034044791873571,43.38592553138733,0.00014472851535259784,0.002178773307226169,0.01290081300986478
20,49.412928104400635,20,1743227509.018824,0.0015639483845397344,46.61247777938843,0.000113988765728255,0.0016779371502679895,0.013340644589219497
