_step,_runtime,step,_timestamp,loss_interior,time,loss_boundary,loss,l2_error
46,281.6196508407593,67,1743227741.2255468,7.893341514023115e-06,278.81827878952026,4.778515086494373e-06,1.2671856600517489e-05,0.002558637875957887
47,321.01218843460083,73,1743227780.6180844,4.067767296339709e-06,318.21146726608276,2.7492421789023313e-06,6.81700947524204e-06,0.001730171886354989
48,373.38907861709595,81,1743227832.9949746,3.1566620469389504e-06,370.5882098674774,1.8654329043190594e-06,5.022094951258009e-06,0.0016962815846567852
49,427.59432435035706,89,1743227887.2002203,1.741100996779022e-06,424.7936520576477,1.3635700248111646e-06,3.1046710215901866e-06,0.0010245442258429605
50,483.81052803993225,98,1743227943.416424,8.638508582114593e-07,481.0098433494568,5.300770185697611e-07,1.3939278767812204e-06,0.0007085297631681158
51,540.2792658805847,107,1743227999.8851619,6.536751197078447e-07,537.4785289764404,3.245087388421047e-07,9.781838585499494e-07,0.0005234755092508863
52,610.1562848091125,118,1743228069.7621808,4.771723566488079e-07,607.3555746078491,2.517819684922702e-07,7.289543251410781e-07,0.00039355408348962825
53,688.5545871257782,130,1743228148.1604831,3.41399095746724e-07,685.7536218166351,1.855355127844905e-07,5.269346085312145e-07,0.00035591623433503793
54,774.7475016117096,143,1743228234.3533976,2.4825140811144157e-07,771.9456474781036,1.4761996113735366e-07,3.9587136924879523e-07,0.0003228974380027529
55,863.3264520168304,157,1743228322.932348,2.1330079773676082e-07,860.525223493576,9.902289129013823e-08,3.1232368902689903e-07,0.0002709324032560546
56,957.8791058063507,172,1743228417.4850018,1.8582360788597517e-07,955.0773739814758,9.882882896060094e-08,2.846524368465761e-07,0.0002451689849075531
57,1070.6938741207123,190,1743228530.29977,1.5394360128608392e-07,1067.8931756019592,7.30918676887807e-08,2.2703546897486462e-07,0.00023568356818223134
58,1183.7599136829376,208,1743228643.3658097,1.409937109802422e-07,1180.9590604305267,6.148757182087854e-08,2.0248128280112073e-07,0.00020994380617926758
59,1319.8693234920502,229,1743228779.4752195,1.2317356919428489e-07,1317.068639755249,5.3895152904538937e-08,1.7706872209882382e-07,0.00020503020454112046
60,1462.6385440826416,252,1743228922.24444,1.0077854300126288e-07,1459.8368208408356,4.74070722413467e-08,1.4818561524260957e-07,0.00018467538652521706
61,1620.6766550540924,277,1743229080.282551,1.0026766505181541e-07,1617.8757135868073,3.9643816232216916e-08,1.3991148128403234e-07,0.00017579530204518763
62,1801.1011176109314,305,1743229260.7070136,8.93200419448429e-08,1798.3002660274506,3.879908636595473e-08,1.2811912831079764e-07,0.00016258903350211524
63,1992.9702172279358,335,1743229452.5761132,7.968099927312423e-08,1990.169289112091,3.2777386104226114e-08,1.1245838537735035e-07,0.00016097739573248397
64,2206.291255712509,369,1743229665.8971517,7.209154180018935e-08,2203.4905366897583,3.0016146921379745e-08,1.0210768872156909e-07,0.00014425219229784124
65,2443.7224588394165,406,1743229903.3283548,6.400901282660463e-08,2440.9217631816864,2.779756786108259e-08,9.180658068768722e-08,0.00013591474826133866
66,2696.8668529987335,446,1743230156.472749,5.832832947942402e-08,2694.0661492347717,2.599661261700174e-08,8.432494209642576e-08,0.00012734071085677818
67,2977.5844695568085,491,1743230437.1903656,5.071168240349911e-08,2974.783341884613,2.080275873050781e-08,7.151444113400691e-08,0.00012342073569640775
68,3003.6991741657257,495,1743230463.3050702,5.0755582644137236e-08,3000.8986790180206,2.026329445971463e-08,7.101887710385186e-08,0.00011827261591177985
