time,_step,step,l2_error,_timestamp,loss_interior,loss,_runtime,loss_boundary
1.0134563446044922,0,0,1.5930274884425852,1742601417.1215231,123.25134859863059,124.79941088089237,3.8972182273864746,1.5480622822617889
1.2552132606506348,1,1,1.590527929827061,1742601417.1532114,122.98052454792267,124.57352552122678,3.9289064407348633,1.5930009733041086
1.280778169631958,2,2,1.5881369762657922,1742601417.1798277,117.51421975874078,119.17566480785207,3.9555227756500244,1.6614450491112955
1.3064405918121338,3,3,1.5857149349114006,1742601417.2054753,119.93366084572958,121.47162256375955,3.981170415878296,1.5379617180299807
1.3342373371124268,4,4,1.583320647783276,1742601417.2331285,122.28233620567165,123.7899471178496,4.00882363319397,1.5076109121779433
1.358842372894287,5,5,1.5809630066286622,1742601417.2577527,120.8864962572325,122.3709553754462,4.033447742462158,1.484459118213705
1.3841395378112793,6,6,1.5786355297987944,1742601417.2831836,125.30472320640729,126.82078233282077,4.058878660202026,1.5160591264134833
1.4096996784210205,7,7,1.5762861153292853,1742601417.308649,121.64480359696981,123.20878961622724,4.084344148635864,1.5639860192574242
1.4343316555023193,8,8,1.5739314799229245,1742601417.3333962,119.74702950069594,121.257705447473,4.109091281890869,1.5106759467770623
1.4599058628082275,9,9,1.5715477945650043,1742601417.3602438,115.50405515713976,116.99924896508831,4.135938882827759,1.4951938079485567
1.4867427349090576,10,10,1.5691041509978776,1742601417.385879,123.06266603674435,124.52130961233709,4.161574125289917,1.4586435755927423
1.5163421630859375,11,11,1.5666137689649533,1742601417.4154663,121.10624712790114,122.50752233336763,4.191161394119263,1.4012752054664939
1.5452344417572021,12,12,1.5640788419864167,1742601417.442218,119.05036583747912,120.4813062511239,4.2179131507873535,1.4309404136447748
1.571610927581787,13,13,1.5615133179421237,1742601417.4686549,121.97821159873344,123.39289394284935,4.244349956512451,1.4146823441159129
1.5991230010986328,14,14,1.5588781135359517,1742601417.496278,125.62744009612982,127.15776575164901,4.271973133087158,1.5303256555191906
1.6234424114227295,15,15,1.5561685835313492,1742601417.520493,124.504515169155,125.97995695333935,4.296188116073608,1.4754417841843517
1.6520075798034668,16,16,1.5533475978812556,1742601417.5490186,123.16131787064172,124.57929376610365,4.324713706970215,1.4179758954619162
1.6756043434143066,17,17,1.5504115749210876,1742601417.5725608,123.0334890706708,124.35958412001008,4.34825587272644,1.3260950493392907
1.6991064548492432,18,18,1.5473441442650635,1742601417.5960164,121.3715240390926,122.6949063448639,4.371711492538452,1.3233823057712868
1.7283058166503906,19,19,1.5441676536791298,1742601417.6250875,122.57400163558104,123.83472745757274,4.400782585144043,1.2607258219917008
1.7515130043029785,20,20,1.54084216485644,1742601417.6483786,119.18410221084926,120.57561243234727,4.424073696136475,1.3915102214980153
1.7747275829315186,21,21,1.5373733054721328,1742601417.671794,117.10076846267222,118.51684673231735,4.447489023208618,1.4160782696451248
1.7980384826660156,22,22,1.5337103524370004,1742601417.6950557,120.92393519799573,122.33585690952319,4.47075080871582,1.411921711527457
1.8204286098480225,23,23,1.5298411218102932,1742601417.7175078,120.67219581370968,122.14688283300215,4.4932029247283936,1.4746870192924761
1.8447778224945068,24,24,1.5257492682715155,1742601417.7416103,120.72139441502391,122.12513599772015,4.517305374145508,1.4037415826962398
1.8692810535430908,25,25,1.5214759329855034,1742601417.765999,121.1182416009861,122.48518015635959,4.541694164276123,1.3669385553734967
1.892456293106079,26,26,1.516933417421256,1742601417.7894192,124.75055576062175,126.10736139158809,4.565114259719849,1.3568056309663292
1.914372444152832,27,27,1.51212039725083,1742601417.8116975,124.24883279523478,125.52187269268536,4.587392568588257,1.2730398974505885
1.9370667934417725,28,28,1.5070427442591892,1742601417.834129,121.00963571775188,122.33060520003316,4.609824180603027,1.3209694822812885
1.965651035308838,29,29,1.5016787914977132,1742601417.862562,120.55376121118489,121.91921207248872,4.638257026672363,1.3654508613038303
1.9889092445373535,30,30,1.4959882390679382,1742601417.8859112,119.74686188245833,121.22375741130226,4.661606311798096,1.47689552884393
2.01212215423584,31,31,1.489951543571228,1742601417.909072,117.13860421840198,118.40435305888641,4.684767007827759,1.2657488404844355
2.0391626358032227,32,32,1.4836469059118642,1742601417.9361675,116.43772564643056,117.63243539929731,4.711862564086914,1.1947097528667474
2.0629823207855225,33,33,1.4769689790741294,1742601417.9601269,125.4245614265318,126.77815227601593,4.735821962356567,1.3535908494841298
2.086031198501587,34,34,1.4698977368904023,1742601417.9831238,115.37495791853948,116.64475346164988,4.758818864822388,1.269795543110407
2.1096208095550537,35,35,1.4623588989065908,1742601418.0065427,122.01769424344005,123.3510222151684,4.782237768173218,1.3333279717283448
2.1331379413604736,36,36,1.4543470964906593,1742601418.0299902,118.94163939176535,120.2542754804885,4.80568528175354,1.312636088723149
2.160400390625,37,37,1.4458352819629046,1742601418.057379,119.63169449213153,120.91387832384794,4.83307409286499,1.2821838317164058
2.1878199577331543,38,38,1.436811404717369,1742601418.0849042,119.56628271782756,120.76548853969106,4.8605992794036865,1.1992058218635069
2.2119741439819336,39,39,1.4273756333413292,1742601418.108924,117.09185865977193,118.30297857518653,4.8846189975738525,1.2111199154145926
2.235816240310669,40,40,1.417403364311751,1742601418.1328082,121.50310881539473,122.59690325130495,4.908503293991089,1.0937944359102216
2.2773587703704834,41,42,1.3956858470432998,1742601418.174397,117.11396362753767,118.22975003906244,4.950092077255249,1.1157864115247662
2.3577373027801514,42,46,1.3446003132966433,1742601418.2546754,124.58886544566244,125.60481432605873,5.030370473861694,1.015948880396293
2.436924934387207,43,50,1.281275596510773,1742601418.3339922,115.90944417748831,116.89280355836573,5.109687328338623,0.9833593808774167
2.534891366958618,44,55,1.1830012656861744,1742601418.4321969,112.05986557975663,112.83700728449823,5.207891941070557,0.777141704741594
2.659024715423584,45,61,1.040360003393885,1742601418.5561938,103.54802799213164,104.18545058623067,5.331888914108276,0.6374225940990408
2.774604082107544,46,67,0.8886901325577576,1742601418.6718857,95.79396873523396,96.25801635079387,5.447580814361572,0.464047615559913
2.8901429176330566,47,73,0.7837960599875621,1742601418.78728,77.15198293067343,77.52892160113988,5.562975168228149,0.3769386704664522
3.0492172241210938,48,81,0.8227947088727963,1742601418.9464333,54.2435418177981,54.71030134054028,5.722128391265869,0.4667595227421786
3.2058801651000977,49,89,0.8512957518290697,1742601419.1030025,44.22070130700676,44.6838303961487,5.878697633743286,0.46312908914193757
3.3800134658813477,50,98,0.6784742643938337,1742601419.2771242,35.87799830429288,36.21058131460128,6.05281925201416,0.33258301030839643
3.5568296909332275,51,107,0.6405202717281917,1742601419.453905,31.730733446885026,32.05004562241732,6.229600191116333,0.3193121755322976
3.7753865718841553,52,118,0.7630486796277336,1742601419.6725826,29.05663904064972,29.437622417911008,6.448277711868286,0.3809833772612892
4.009714365005493,53,130,0.8061812843496337,1742601419.9065113,26.24709158813437,26.74320008045863,6.682206392288208,0.4961084923242599
