loss_interior,step,_step,time,l2_error,_timestamp,loss_boundary,loss,_runtime
117.33196217064214,0,0,58.58428716659546,1.577910391287814,1742754324.2680628,1.4837270046698947,118.81568917531203,62.649306774139404
119.23949806351997,1,1,116.27653884887695,1.5830720155220428,1742754380.9809725,1.5331511265730187,120.77264919009299,119.36221647262573
123.86113964409272,2,2,174.43999528884888,1.5681756804559759,1742754439.1417122,1.4058307192835844,125.2669703633763,177.5229561328888
118.46877003167307,3,3,232.41179037094116,1.6154671775945815,1742754497.1147735,1.4619737002369926,119.93074373191007,235.4960174560547
114.43460573096783,4,4,288.5942714214325,1.6092706027244394,1742754553.2969117,1.6527431193578028,116.08734885032564,291.6781556606293
105.47689949069274,5,5,344.21008682250977,1.3950691306185237,1742754608.9114616,1.6328675129467909,107.10976700363953,347.2927055358887
90.60775765349001,6,6,403.4195325374603,1.5651918033276986,1742754668.1212244,1.1728544910067489,91.78061214449676,406.50246834754944
42.21372523672254,7,7,465.6540994644165,1.0576767850162172,1742754730.3555517,1.3294592782936907,43.54318451501623,468.7367956638336
26.03257138617384,8,8,528.730859041214,0.9304251434189319,1742754793.432138,0.6734803984274913,26.70605178460133,531.8133819103241
12.62602051528372,9,9,585.6800549030304,1.019291080437303,1742754850.3834453,0.4978958482194017,13.123916363503122,588.764689207077
2.2939754164192907,10,10,643.4150335788727,0.3404945958946327,1742754908.1166067,0.5456995227805743,2.839674939199865,646.4978506565094
0.6026462736391746,11,11,702.220700263977,0.35128374715163013,1742754966.9221213,0.07172875211528014,0.6743750257544547,705.3033652305603
0.046349001171730964,12,12,758.5505731105804,0.059262023824658984,1742755023.2551749,0.06369000145633286,0.11003900262806382,761.6364188194275
0.019422820072395954,13,13,817.0315301418304,0.07968146496776841,1742755081.7336493,0.0025399855080433494,0.021962805580439303,820.1148931980133
0.0034247978079645354,14,14,876.0936641693115,0.02429632632182894,1742755140.797119,0.0033382245471945053,0.006763022355159041,879.1783628463745
0.0014560867032813315,15,15,936.5876450538635,0.011285173974622507,1742755201.2901056,0.0003523585619866447,0.001808445265267976,939.6713495254517
0.0004191461092772416,16,16,994.7544331550598,0.006384959903185988,1742755259.4564946,9.263610132747847e-05,0.0005117822106047201,997.8377385139465
0.00011904049356804856,17,17,1057.5508110523224,0.004615976146227736,1742755322.252068,2.9940551116984186e-05,0.00014898104468503274,1060.6333119869232
8.061743193482626e-05,18,18,1116.0888125896454,0.003611769144424647,1742755380.7909095,1.369922782967267e-05,9.431665976449893e-05,1119.1721534729004
6.616170480255556e-05,19,19,1175.961725473404,0.003436784260924155,1742755440.6652598,8.812408289255342e-06,7.49741130918109e-05,1179.0465037822723
2.8908972581842975e-05,20,20,1238.1478571891785,0.0024901172932290383,1742755502.8498337,7.166159529472279e-06,3.607513211131525e-05,1241.231077671051
5.370164153764979e-06,21,21,1295.0016875267029,0.001991879190560685,1742755559.7038364,3.6428702298688802e-06,9.013034383633859e-06,1298.0850803852081
3.682271422300347e-06,22,22,1352.3060050010681,0.001181657014461939,1742755617.0074804,2.3178750058097526e-06,6.0001464281101e-06,1355.3887243270874
3.486899630700192e-06,23,23,1410.0022320747375,0.001066721408831723,1742755674.7039719,9.906757631706762e-07,4.4775753938708686e-06,1413.085215806961
2.2583700256438605e-06,24,24,1469.5591170787811,0.0009202027038534494,1742755734.2613454,7.345476107734067e-07,2.9929176364172673e-06,1472.6425893306732
1.926399834787204e-06,25,25,1530.579960823059,0.0008659704359078094,1742755795.2832682,5.556776165112807e-07,2.4820774512984846e-06,1533.6645121574402
1.7990477698244811e-06,26,26,1585.4030575752258,0.0007558021490998721,1742755850.1050303,5.091932989434035e-07,2.3082410687678846e-06,1588.4862742424011
1.5543165706869065e-06,27,27,1643.508936882019,0.0007074349491941076,1742755908.2106848,4.2199535977909227e-07,1.976311930465999e-06,1646.5919287204742
1.3722528210768247e-06,28,28,1699.0571727752686,0.0006764642651636531,1742755963.7592,3.5648285596808693e-07,1.7287356770449116e-06,1702.1404440402985
1.2954100552548757e-06,29,29,1755.054151058197,0.0006680298091097245,1742756019.7558138,3.173990972298366e-07,1.6128091524847123e-06,1758.1370577812195
1.0243016294860525e-06,30,30,1816.3111889362335,0.0006072496388646903,1742756081.0142066,3.201038769924783e-07,1.3444055064785307e-06,1819.395450592041
8.779294568172233e-07,31,31,1872.2217600345612,0.0005884584857948739,1742756136.9237607,2.3656659993116516e-07,1.1144960567483885e-06,1875.3050045967102
8.041559106167478e-07,32,32,1927.0735778808594,0.000601423172201926,1742756191.774976,2.094100150117294e-07,1.0135659256284771e-06,1930.156219959259
6.961522330921856e-07,33,33,1984.515011548996,0.0004906158785296299,1742756249.2164185,2.6453530762800514e-07,9.606875407201907e-07,1987.597662448883
4.3634071321827297e-07,34,34,2039.8785681724548,0.0004891377515994766,1742756304.58056,1.442834123217239e-07,5.806241255399969e-07,2042.9618039131165
3.927787880376462e-07,35,35,2095.9855971336365,0.00035230832188904506,1742756360.6869116,1.4503853118804984e-07,5.378173192256961e-07,2099.068155527115
3.1354061858668896e-07,36,36,2150.838700056076,0.00034203916652565685,1742756415.5399864,7.806870765664536e-08,3.916093262433343e-07,2153.921230316162
2.785885905348887e-07,37,37,2207.3068771362305,0.00028196050309697146,1742756472.0085652,7.382343283207947e-08,3.5241202336696813e-07,2210.3898091316223
2.481540970970062e-07,38,38,2261.5720031261444,0.0003320061392133453,1742756526.2739234,5.474063606333258e-08,3.0289473316033873e-07,2264.6551673412323
