_timestamp,loss_boundary,time,loss_interior,step,_runtime,l2_error,loss,_step
1743516416.3700006,1.5480622822617889,2.4664647579193115,123.25134859863059,0,6.609741687774658,1.5972437534815285,124.79941088089237,0
1743516416.9908872,1.603414527059098,4.1088707447052,122.7898011155469,1,7.230628252029419,1.9153474691115584,124.393215642606,1
1743516417.6081405,2.20798118690994,4.726194143295288,115.77495225321631,2,7.847881555557251,1.7007498940003423,117.98293344012626,2
1743516418.2243445,1.5216237413084217,5.342334508895874,103.41637708307833,3,8.464085578918457,1.9093246236056352,104.93800082438675,3
1743516418.836996,2.0964179758472072,5.954971075057983,75.53336617859487,4,9.07673716545105,1.9325578026805807,77.62978415444208,4
1743516419.4548352,2.0061255515291623,6.572806358337402,61.74132103623733,5,9.694576263427734,1.8577066200965473,63.74744658776649,5
1743516420.0697632,2.025534758282123,7.18768835067749,50.63537620958493,6,10.309504270553589,1.8448031736424497,52.66091096786705,6
1743516420.6822722,1.4531811845371685,7.800171852111816,20.133949948594953,7,10.922013282775879,0.6999576668180455,21.58713113313212,7
1743516421.2948802,0.2907185371040781,8.41268014907837,4.073117060756563,8,11.534621238708496,0.39460127844825954,4.363835597860641,8
1743516421.9064958,0.08779933830168915,9.024389028549194,0.7654685967018476,9,12.146236896514893,0.11937804985723728,0.8532679350035368,9
1743516422.517743,0.009313792547821659,9.63561224937439,0.2386877391232712,10,12.757484197616577,0.1591701935198443,0.24800153167109287,10
1743516423.1297143,0.012752879401005338,10.247616529464722,0.014358041546114766,11,13.369455337524414,0.013573584832204309,0.027110920947120105,11
1743516423.7423935,0.00011548932486221928,10.86019253730774,0.0020766782660186357,12,13.982134580612183,0.012051967006518734,0.002192167590880855,12
1743516424.354048,8.562804662798206e-05,11.471853017807007,0.0010532708483172535,13,14.593789100646973,0.011307086649113438,0.0011388988949452355,13
1743516424.9674914,7.550046403366304e-05,12.085297584533691,0.00042412725403946655,14,15.207232475280762,0.008788461677773824,0.0004996277180731296,14
1743516425.5862887,4.381975413662895e-05,12.704024076461792,0.00016165751731340663,15,15.826029777526855,0.0056273251827043255,0.0002054772714500356,15
1743516426.199747,1.6520325747600478e-05,13.317376136779785,6.271334898882198e-05,16,16.439488172531128,0.0043281349578987065,7.923367473642246e-05,16
1743516426.8123264,1.0340461429439316e-05,13.930189609527588,3.5587016397049297e-05,17,17.052067518234253,0.004097788978896824,4.592747782648861e-05,17
1743516427.4260597,8.296340046140729e-06,14.543903350830078,2.5723828438429e-05,18,17.66580080986023,0.0029736548751279368,3.402016848456973e-05,18
1743516428.0379632,5.2383461138697345e-06,15.155793190002441,1.5182516197028345e-05,19,18.2777042388916,0.002479926450489952,2.042086231089808e-05,19
1743516428.6506395,3.2657552986166645e-06,15.768458366394043,1.0440683900005304e-05,20,18.89038062095642,0.002255944327159891,1.3706439198621969e-05,20
1743516429.260792,2.546815002063585e-06,16.37859559059143,7.327800560196417e-06,21,19.50053310394287,0.0018262824038172774,9.874615562260002e-06,21
1743516429.8717465,1.766186167144598e-06,16.989572048187256,6.2705575498454e-06,22,20.11148762702942,0.0017491015117065667,8.036743716989998e-06,22
1743516430.483745,1.536854315378458e-06,17.601594924926758,4.99961266994132e-06,23,20.723486185073853,0.0016000836404411291,6.536466985319778e-06,23
1743516431.0957222,1.292809153307332e-06,18.21350884437561,4.206265329678858e-06,24,21.335463285446167,0.0015245311170222129,5.499074482986189e-06,24
1743516431.711099,1.1624695183802418e-06,18.828916549682617,3.712838380751404e-06,25,21.95083999633789,0.0014327152271830896,4.8753078991316455e-06,25
1743516432.3273978,1.032949222998081e-06,19.445074796676636,3.193409552277035e-06,26,22.56713891029358,0.0008250630857759682,4.226358775275116e-06,26
1743516432.939022,3.929808473944427e-07,20.05685782432556,1.847889984769786e-06,27,23.178763151168823,0.0008190355378123275,2.2408708321642288e-06,27
1743516433.5539792,4.00764796464609e-07,20.67171812057495,1.648765799979675e-06,28,23.793720245361328,0.0008881535941003214,2.049530596444284e-06,28
1743516434.1671612,4.6309578211902296e-07,21.285024166107178,1.2039370942009583e-06,29,24.406902313232422,0.0008645641906629159,1.6670328763199812e-06,29
1743516434.7777584,4.2922444860939083e-07,21.895390033721924,1.1004613310189715e-06,30,25.017499446868896,0.0008914912998859523,1.5296857796283624e-06,30
1743516435.3889287,4.4180014728349965e-07,22.50675320625305,8.62913840252962e-07,31,25.62866973876953,0.0008290023380228727,1.3047139875364615e-06,31
1743516435.9994469,3.7362103886104254e-07,23.117281675338745,9.152401298951567e-07,32,26.239187955856323,0.0005891724592066482,1.2888611687561993e-06,32
1743516436.616808,2.343778504230484e-07,23.734665870666504,7.583223957257959e-07,33,26.85654902458191,0.0005809904380533589,9.927002461488443e-07,33
1743516437.233162,2.0877314122358728e-07,24.350944995880127,6.440010955687106e-07,34,27.47290301322937,0.0006114232712694535,8.527742367922978e-07,34
1743516437.8459759,2.155203639839808e-07,24.963796854019165,5.471321953267662e-07,35,28.08571696281433,0.0006103316486676388,7.626525593107469e-07,35
1743516438.4598033,2.3112845011052284e-07,25.57768225669861,4.753760169118225e-07,36,28.699544429779053,0.000572825560477612,7.065044670223453e-07,36
1743516439.0749366,1.988649130580912e-07,26.192748069763184,4.181430704808969e-07,37,29.314677715301514,0.0005797660803650219,6.170079835389881e-07,37
1743516439.694369,2.050220993839293e-07,26.812201738357544,3.968724045533641e-07,38,29.934110164642334,0.0005628413109363886,6.018945039372934e-07,38
