l2_error,loss_boundary,loss,step,loss_interior,_step,_runtime,_timestamp,time
1.595577975532712,1.5480622822617889,124.79941088089237,0,123.25134859863059,0,5.161178112030029,1743181544.2679572,2.3876280784606934
1.7024736231490416,1.5984274768633464,124.6111471351436,1,123.01271965828025,1,6.186819791793823,1743181545.293599,3.6220333576202393
1.596318670450249,1.9119157779178078,116.31963497621521,2,114.4077191982974,2,7.209764242172241,1743181546.3165433,4.6462273597717285
1.5216843633941741,1.5216068053541631,115.6117695166325,3,114.09016271127834,3,8.239000797271729,1743181547.34578,5.675320386886597
1.504543854679081,1.3579496386015508,109.63405343211359,4,108.27610379351204,4,9.261458158493042,1743181548.3682373,6.697640419006348
1.9773504197390133,1.2997980114265466,101.81473935969046,5,100.51494134826392,5,10.288919925689697,1743181549.395699,7.725244045257568
1.7521550285224061,2.177421384689358,80.69500680437304,6,78.51758541968368,6,11.311381101608276,1743181550.4181602,8.74781847000122
1.472025463443077,1.545725574686698,49.65759959961212,7,48.11187402492542,7,12.346266031265259,1743181551.4530451,9.782537460327148
1.2816313297618365,1.1705643826045036,30.364386808100257,8,29.193822425495753,8,13.370884895324707,1743181552.477664,10.807199001312256
0.8514566435615374,0.7936991523246517,10.979997495299997,9,10.186298342975347,9,14.394905090332031,1743181553.5016842,11.831294775009155
0.23692065233379841,0.44854181301581875,2.717636593064625,10,2.2690947800488064,10,15.416830062866211,1743181554.5236092,12.853104591369629
0.15857036981615277,0.039864900889033064,0.9602966242902701,11,0.920431723401237,11,16.4479341506958,1743181555.5547132,13.884373188018799
0.16267440397361072,0.014809857224611462,0.3947139304993073,12,0.37990407327469583,12,17.470171451568604,1743181556.5769506,14.906557083129883
0.13014714318712295,0.014945262252501998,0.2720719257281347,13,0.25712666347563273,13,18.497450828552246,1743181557.60423,15.933893918991089
0.1141147866068522,0.009183296756374536,0.1263351453098079,14,0.11715184855343337,14,19.51857328414917,1743181558.6253524,16.954993963241577
0.11013444428056719,0.007509118521257389,0.08868084422801474,15,0.08117172570675735,15,20.540111303329468,1743181559.6468904,17.976518392562866
0.0962362773079362,0.006403888640360714,0.06169623389917292,16,0.05529234525881221,16,21.56175422668457,1743181560.6685333,18.99815344810486
0.0876503779949668,0.0047510898024555725,0.041759558181172454,17,0.03700846837871688,17,22.585824251174927,1743181561.6926033,20.0222065448761
0.06694686836309373,0.003671172403220817,0.02979678535969562,18,0.0261256129564748,18,23.607638597488403,1743181562.7144177,21.044109344482422
0.05055870766241697,0.0024976527172357664,0.01928903471629431,19,0.016791381999058542,19,24.638019800186157,1743181563.744799,22.07441020011902
0.05833687328569123,0.0015956314444166139,0.011647301978926414,20,0.0100516705345098,20,25.661532163619995,1743181564.7683113,23.097553253173828
0.0578599575740877,0.0021101943457043602,0.007403048238207776,21,0.005292853892503416,21,26.684361934661865,1743181565.791141,24.120513677597046
0.056320548851348844,0.0018062117186251388,0.005745208347057824,22,0.003938996628432685,22,27.70594835281372,1743181566.8127275,25.142406225204468
0.05506933888430646,0.001666993745576721,0.004570082359706583,23,0.0029030886141298614,23,28.728449821472168,1743181567.835229,26.164665699005127
0.038024303783563716,0.0015553507137926212,0.0034959295297110515,24,0.0019405788159184304,24,29.753275871276855,1743181568.860055,27.18970274925232
0.0180507414282045,0.0007368301405974612,0.0016133972015020233,25,0.0008765670609045621,25,30.778634309768677,1743181569.8854134,28.21504259109497
0.015468113524674563,0.00022495219211053792,0.0006312097867942094,26,0.0004062575946836715,26,31.80469012260437,1743181570.9114692,29.241074085235596
0.013662574750191923,0.0001579414188579699,0.00042337018845318,27,0.00026542876959521005,27,32.82752871513367,1743181571.9343078,30.26389193534851
0.013852570859627605,0.00010738681357918875,0.00026248104361210916,28,0.0001550942300329204,28,33.85301089286804,1743181572.95979,31.289446115493774
0.014504694533543607,0.00010059634110271173,0.00024939949578703206,29,0.00014880315468432032,29,34.87670016288757,1743181573.9834793,32.313093185424805
0.008558643677484613,0.00010439037786205434,0.00021578127648543693,30,0.00011139089862338258,30,35.89898419380188,1743181575.0057633,33.335437059402466
0.007708692285400369,4.131109395819413e-05,9.935616693350832e-05,31,5.804507297531419e-05,31,36.92182922363281,1743181576.0286083,34.3582866191864
0.005283703304028312,3.331512276383432e-05,7.91739576985989e-05,32,4.585883493476458e-05,32,37.945643186569214,1743181577.0524223,35.382057428359985
0.005160455580022011,1.8661861019107178e-05,3.8749612869689146e-05,33,2.0087751850581968e-05,33,38.96729755401611,1743181578.0740767,36.40372276306152
0.005160455580022011,1.547770379800078e-05,3.522952834143942e-05,34,1.975182454343864e-05,34,39.99081516265869,1743181579.0975943,37.42729091644287
0.004924871752053148,1.5086447789854244e-05,3.467097731593762e-05,35,1.9584529526083376e-05,35,41.01184344291687,1743181580.1186225,38.448001861572266
0.005410094585959535,1.3735041737661792e-05,3.058177357524429e-05,36,1.6846731837582503e-05,36,42.03334331512451,1743181581.1401224,39.46984910964966
0.004684505654334588,1.6582416670570864e-05,2.345522748610338e-05,37,6.872810815532518e-06,37,43.06413984298706,1743181582.170919,40.50031232833862
0.003093663392892365,1.241311217083485e-05,1.916406817457779e-05,38,6.75095600374294e-06,38,44.08615016937256,1743181583.1929293,41.52259373664856
0.0030640063375916866,6.417716179014059e-06,1.191181659556557e-05,39,5.49410041655151e-06,39,45.1080207824707,1743181584.2148,42.54407715797424
0.0031791410595759834,5.555574132479199e-06,1.0039810336330497e-05,40,4.484236203851297e-06,40,46.13396191596985,1743181585.240741,43.570448875427246
