loss,_step,step,loss_interior,_timestamp,_runtime,l2_error,time,loss_boundary
118.81568917531203,0,0,117.33196217064214,1715411070.5558672,65.29630208015442,1.577910391287814,61.04694938659668,1.4837270046698947
120.77264919009299,1,1,119.23949806351997,1715411129.7906637,124.53109860420227,1.5830720155220428,120.69261455535889,1.5331511265730187
125.2669703633763,2,2,123.86113964409272,1715411189.06163,183.80206489562988,1.5681756804559759,179.96366930007935,1.4058307192835844
119.93074373191007,3,3,118.46877003167307,1715411248.0060072,242.74644207954407,1.6154671775945815,238.90716767311096,1.4619737002369926
116.08734885032564,4,4,114.43460573096783,1715411307.3454633,302.08589816093445,1.6092706027244394,298.24738240242004,1.6527431193578028
107.10976700363953,5,5,105.47689949069274,1715411366.9484916,361.68892645835876,1.3950691306185237,357.85042548179626,1.6328675129467909
91.78061214449676,6,6,90.60775765349001,1715411426.8184614,421.5588963031769,1.5651918033276986,417.72009897232056,1.1728544910067489
43.54318451501623,7,7,42.21372523672254,1715411486.422053,481.1624879837036,1.0576767850162172,477.3237338066101,1.3294592782936907
26.70605178460133,8,8,26.03257138617384,1715411546.07884,540.8192749023438,0.9304251434189319,536.9806439876556,0.6734803984274913
13.123916363503122,9,9,12.62602051528372,1715411605.363351,600.1037859916687,1.019291080437303,596.2657635211945,0.4978958482194017
2.839674939199865,10,10,2.2939754164192907,1715411664.6893084,659.4297432899475,0.3404945958946327,655.5907151699066,0.5456995227805743
0.6743750257544547,11,11,0.6026462736391746,1715411724.11068,718.851114988327,0.35128374715163013,715.0125513076782,0.07172875211528014
0.11003900262806382,12,12,0.046349001171730964,1715411783.6391258,778.3795607089996,0.059262023824658984,774.5414192676544,0.06369000145633286
0.021962805580439303,13,13,0.019422820072395954,1715411843.2307465,837.9711813926697,0.07968146496776841,834.133184671402,0.0025399855080433494
0.006763022355159041,14,14,0.0034247978079645354,1715411902.540448,897.2808828353882,0.02429632632182894,893.4422934055328,0.0033382245471945053
0.001808445265267976,15,15,0.0014560867032813315,1715411961.737812,956.4782469272614,0.011285173974622507,952.6398503780365,0.0003523585619866447
0.0005117822106047201,16,16,0.0004191461092772416,1715412021.1464772,1015.8869121074677,0.006384959903185988,1012.0489320755005,9.263610132747847e-05
0.00014898104468503274,17,17,0.00011904049356804856,1715412080.4836097,1075.224044561386,0.004615976146227736,1071.385665655136,2.9940551116984186e-05
9.431665976449893e-05,18,18,8.061743193482626e-05,1715412139.9900694,1134.7305042743683,0.003611769144424647,1130.892058134079,1.369922782967267e-05
7.49741130918109e-05,19,19,6.616170480255556e-05,1715412199.3306844,1194.0711193084717,0.003436784260924155,1190.2325501441956,8.812408289255342e-06
3.607513211131525e-05,20,20,2.8908972581842975e-05,1715412258.6644378,1253.4048726558685,0.0024901172932290383,1249.566730260849,7.166159529472279e-06
9.013034383633859e-06,21,21,5.370164153764979e-06,1715412318.0117674,1312.7522022724152,0.001991879190560685,1308.9136226177216,3.6428702298688802e-06
6.0001464281101e-06,22,22,3.682271422300347e-06,1715412377.362231,1372.102665901184,0.001181657014461939,1368.264010667801,2.3178750058097526e-06
4.4775753938708686e-06,23,23,3.486899630700192e-06,1715412436.7815,1431.5219349861145,0.001066721408831723,1427.683795928955,9.906757631706762e-07
2.9929176364172673e-06,24,24,2.2583700256438605e-06,1715412496.0289302,1490.7693650722504,0.0009202027038534494,1486.9307112693787,7.345476107734067e-07
2.4820774512984846e-06,25,25,1.926399834787204e-06,1715412555.3178294,1550.0582642555237,0.0008659704359078094,1546.2197909355164,5.556776165112807e-07
2.3082410687678846e-06,26,26,1.7990477698244811e-06,1715412614.5666723,1609.3071072101593,0.0007558021490998721,1605.469141960144,5.091932989434035e-07
1.976311930465999e-06,27,27,1.5543165706869065e-06,1715412673.8362763,1668.576711177826,0.0007074349491941076,1664.7385244369507,4.2199535977909227e-07
1.7287356770449116e-06,28,28,1.3722528210768247e-06,1715412733.308717,1728.0491518974304,0.0006764642651636531,1724.2111687660217,3.5648285596808693e-07
1.6128091524847123e-06,29,29,1.2954100552548757e-06,1715412792.6875806,1787.4280154705048,0.0006680298091097245,1783.5899114608765,3.173990972298366e-07
1.3444055064785307e-06,30,30,1.0243016294860525e-06,1715412852.1660538,1846.9064886569977,0.0006072496388646903,1843.0684967041016,3.201038769924783e-07
1.1144960567483885e-06,31,31,8.779294568172233e-07,1715412911.8650508,1906.6054856777191,0.0005884584857948739,1902.7666656970978,2.3656659993116516e-07
1.0135659256284771e-06,32,32,8.041559106167478e-07,1715412971.377153,1966.1175878047943,0.000601423172201926,1962.279902935028,2.094100150117294e-07
9.606875407201907e-07,33,33,6.961522330921856e-07,1715413030.8446014,2025.585036277771,0.0004906158785296299,2021.7464287281036,2.6453530762800514e-07
5.806241255399969e-07,34,34,4.3634071321827297e-07,1715413090.3866212,2085.127056121826,0.0004891377515994766,2081.2891957759857,1.442834123217239e-07
5.378173192256961e-07,35,35,3.927787880376462e-07,1715413150.1070857,2144.8475205898285,0.00035230832188904506,2141.008637905121,1.4503853118804984e-07
3.916093262433343e-07,36,36,3.1354061858668896e-07,1715413209.65519,2204.3956248760223,0.00034203916652565685,2200.5574872493744,7.806870765664536e-08
3.5241202336696813e-07,37,37,2.785885905348887e-07,1715413269.131399,2263.8718338012695,0.00028196050309697146,2260.033080101013,7.382343283207947e-08
3.0289473316033873e-07,38,38,2.481540970970062e-07,1715413328.566387,2323.30682182312,0.0003320061392133453,2319.4680409431458,5.474063606333258e-08
