l2_error,_step,_timestamp,loss_interior,loss,step,time,_runtime,loss_boundary
2.2695329736957146,0,1715404945.0059144,117.33196217064214,118.81568917531203,0,1.1237967014312744,5.438862562179565,1.4837270046698947
2.080978688724201,1,1715404945.0316067,123.1438938765213,125.89268992954817,1,1.5187687873840332,5.464554786682129,2.7487960530268647
1.6126491603980946,2,1715404945.0574636,128.14796847487796,130.56122664314424,2,1.5438487529754639,5.490411758422852,2.413258168266288
1.5777806331689355,3,1715404945.0827298,120.5314922569577,122.08817121435891,3,1.5692262649536133,5.5156779289245605,1.5566789574012099
1.673189111994615,4,1715404945.1046605,119.94431114158772,121.55851409650917,4,1.590996503829956,5.537608623504639,1.6142029549214594
1.7913312338863279,5,1715404945.1256223,126.75562969628123,128.49389234560527,5,1.6122477054595947,5.558570384979248,1.7382626493240505
1.834346449984961,6,1715404945.1464772,122.76198650153974,124.67534170278387,6,1.6327857971191406,5.57942533493042,1.9133552012441364
1.8061052135575728,7,1715404945.1777778,117.8947714202007,119.84224427005324,7,1.6642143726348877,5.6107258796691895,1.9474728498525502
1.7270990151238823,8,1715404945.2029219,123.38098643621845,125.3246878169008,8,1.6899704933166504,5.635869979858398,1.9437013806823615
1.6385070045791894,9,1715404945.2277873,116.95343028871262,118.73790034881364,9,1.714806318283081,5.660735368728638,1.7844700601010095
1.5816297519060825,10,1715404945.254555,120.20668045332981,121.898369653593,10,1.7395288944244385,5.687503099441528,1.6916892002631831
1.57858062511006,11,1715404945.2803218,126.76491917711888,128.14745560296072,11,1.7675678730010986,5.713269948959351,1.3825364258418347
1.614250508960766,12,1715404945.3063712,118.00770341989103,119.52274610121567,12,1.793579339981079,5.739319324493408,1.515042681324651
1.6595061586033022,13,1715404945.3321164,117.11342799451994,118.6954537809743,13,1.819734811782837,5.765064477920532,1.5820257864543728
1.687227671258371,14,1715404945.3570936,125.67050057568835,127.21943527763281,14,1.845271348953247,5.79004168510437,1.5489347019444555
1.6837314612444143,15,1715404945.381886,120.44991555869387,122.0581728396344,15,1.869844913482666,5.814834117889404,1.608257280940517
1.649364741312085,16,1715404945.4066367,125.62037291004391,127.3279090173709,16,1.8947513103485107,5.839584827423096,1.7075361073269906
1.6090437176080503,17,1715404945.4315274,126.9902537999348,128.6086816594848,17,1.9195992946624756,5.86447548866272,1.618427859550002
1.5814261650510726,18,1715404945.4564388,122.55830928375805,124.30403095279719,18,1.9446284770965576,5.889386892318726,1.745721669039148
1.5735145794739105,19,1715404945.4813888,121.74383817000543,123.1217716710169,19,1.969555377960205,5.914336919784546,1.377933501011465
1.5824896931807981,20,1715404945.5059917,119.27622623307435,120.65497227373493,20,1.994307518005371,5.938939809799194,1.3787460406605692
1.6026016962915313,21,1715404945.530476,127.01035507627905,128.5681828052854,21,2.018864870071411,5.963424205780029,1.5578277290063607
1.6238146690035362,22,1715404945.554832,120.04649159747878,121.49259634964989,22,2.043888568878174,5.9877800941467285,1.4461047521711095
1.6309139459590634,23,1715404945.579241,121.97679165605201,123.53954935466228,23,2.068141460418701,6.012189149856567,1.562757698610271
1.6252167249930134,24,1715404945.6034162,118.05832296231354,119.7639783669496,24,2.0921859741210938,6.036364316940308,1.7056554046360566
1.608196565567188,25,1715404945.6276798,120.89813312199425,122.33095470155607,25,2.116495132446289,6.0606279373168945,1.4328215795618144
1.5894397717937896,26,1715404945.6514513,125.14832936983893,126.69756857367743,26,2.140460968017578,6.084399461746216,1.5492392038384997
1.5753607944642412,27,1715404945.6908033,125.75574142870359,127.29644344685018,27,2.1796610355377197,6.123751401901245,1.54070201814659
1.5752834578096133,28,1715404945.7146535,119.88004884057615,121.48914257739291,28,2.2036473751068115,6.14760160446167,1.6090937368167633
1.586009226270214,29,1715404945.7389336,121.10964058652819,122.58616698944631,29,2.2278215885162354,6.171881675720215,1.4765264029181275
1.600365058953658,30,1715404945.7632818,124.38028156066078,125.804023532841,30,2.2519350051879883,6.196229934692383,1.423741972180225
1.6130212047813905,31,1715404945.787094,120.87791208890347,122.20873963450813,31,2.2757492065429688,6.2200422286987305,1.3308275456046639
1.6111545954996156,32,1715404945.8104692,117.66341661653185,119.21782661380115,32,2.2986955642700195,6.243417263031006,1.5544099972693022
1.603508147005657,33,1715404945.834629,123.6594173801447,125.16708655566293,33,2.323575973510742,6.267577171325684,1.507669175518237
1.5889240897413979,34,1715404945.858744,121.64628906317303,123.11450996462993,34,2.347733736038208,6.291692018508911,1.4682209014569094
1.5784001093896702,35,1715404945.8832607,125.53793544425,126.949470723046,35,2.3721187114715576,6.316208839416504,1.4115352787960072
1.574081669798108,36,1715404945.9074347,125.90664521559789,127.48751158490082,36,2.396432876586914,6.340382814407349,1.580866369302929
1.5739701943255158,37,1715404945.93147,117.84436845852919,119.22826041414152,37,2.420450448989868,6.364418029785156,1.3838919556123312
1.5767690338795624,38,1715404945.955718,120.5441300656567,122.02502491798927,38,2.4444735050201416,6.388666152954102,1.4808948523325751
1.5794187706657472,39,1715404945.980341,117.13532687157908,118.78669183668667,39,2.4694714546203613,6.4132890701293945,1.651364965107584
1.579182884733891,40,1715404946.0081487,121.73841595245624,123.50080331461113,40,2.496699094772339,6.441096782684326,1.7623873621549004
1.577981659045499,41,1715404946.0505316,120.71124694357133,122.25229898071944,42,2.5386931896209717,6.483479738235474,1.5410520371481162
1.573667960770421,42,1715404946.1316316,118.00875332888661,119.55237039749342,46,2.6193346977233887,6.564579725265503,1.5436170686068131
