loss_interior,_step,l2_error,loss_boundary,step,loss,time,_runtime,_timestamp
117.33196217064214,0,1.5207115470041463,1.4837270046698947,0,118.81568917531203,1.5742285251617432,5.713165044784546,1715401567.35747
115.75861628634678,1,1.1583855899258788,1.3276605473598284,1,117.0862768337066,1.9728608131408691,5.857268571853638,1715401567.5015736
91.70806460567502,2,1.0321049743846957,0.7577585784702922,2,92.46582318414531,2.1100549697875977,5.993092060089111,1715401567.637397
78.79905894970116,3,1.0698744645196578,0.6071619442982172,3,79.40622089399938,2.2462093830108643,6.129268646240234,1715401567.7735736
74.4528336703701,4,0.9259599485843056,0.6349314820617429,4,75.08776515243184,2.3907740116119385,6.273810625076294,1715401567.9181156
61.05805252835384,5,0.9287451532289447,0.5337315876015225,5,61.59178411595536,2.5270535945892334,6.410067081451416,1715401568.054372
59.61973748293986,6,1.1388877639992718,0.5359503400011228,6,60.15568782294098,2.6667490005493164,6.55001163482666,1715401568.1943166
52.75777622809723,7,0.8001239726550217,0.6706170468399715,7,53.4283932749372,2.801619529724121,6.684689998626709,1715401568.328995
37.936796260335385,8,0.74514175681078,0.4189546527961104,8,38.355750913131494,2.936767578125,6.819858074188232,1715401568.464163
36.02372019189708,9,0.7896146851673906,0.392486377832068,9,36.41620656972915,3.0731284618377686,6.95630145072937,1715401568.6006064
33.67800104697622,10,0.8167763791568904,0.43898936878560474,10,34.116990415761826,3.2104716300964355,7.093571186065674,1715401568.7378762
24.47478253512119,11,1.017198254804205,0.4651686498358702,11,24.93995118495706,3.3458797931671143,7.228971719741821,1715401568.8732767
20.845327435281398,12,1.0276828943217142,0.6734254800892174,12,21.518752915370616,3.4846770763397217,7.367837429046631,1715401569.0121424
15.688696708176003,13,1.0281999541752243,0.7228971692828409,13,16.411593877458845,3.6230013370513916,7.506164073944092,1715401569.150469
13.759474655533825,14,1.1619313845601684,0.7301272987164427,14,14.489601954250269,3.755967617034912,7.643030643463135,1715401569.2873356
11.13207671703255,15,1.374507596277228,0.8927914934208627,15,12.024868210453413,3.89253568649292,7.775684356689453,1715401569.4199893
9.126487429568106,16,1.2606310416935855,1.23212247737707,16,10.358609906945176,4.029230356216431,7.912402153015137,1715401569.5567071
8.059384983111377,17,1.4213586232305688,1.0709450638116098,17,9.130330046922987,4.162833213806152,8.046067714691162,1715401569.6903727
6.571590351594362,18,1.4302529104095951,1.3491322088279012,18,7.920722560422263,4.295751571655273,8.178961515426636,1715401569.8232665
5.906571668754085,19,1.5173988849346036,1.354487705915543,19,7.261059374669627,4.4282965660095215,8.31149959564209,1715401569.9558046
4.908138795583688,20,1.5506260207743727,1.493335340466333,20,6.401474136050021,4.561117887496948,8.444320678710938,1715401570.0886257
4.284552884865885,21,1.5347713147563409,1.5707067021041872,21,5.855259586970073,4.694703817367554,8.57791256904602,1715401570.2222176
3.8348269162482573,22,1.4978230614500274,1.5549058290772615,22,5.389732745325519,4.831632137298584,8.714846134185791,1715401570.3591511
3.503552035030998,23,1.5321442943005845,1.482548370595135,23,4.986100405626133,4.965068101882935,8.848318099975586,1715401570.492623
2.9778202955499746,24,1.4754223364814223,1.5614684485973738,24,4.539288744147348,5.09930944442749,8.982527494430542,1715401570.6268325
2.6544726160856746,25,1.4966077970206735,1.4453771097881258,25,4.099849725873801,5.237032651901245,9.120266675949097,1715401570.7645717
2.2039388572192093,26,1.4485884327429108,1.4869541057079565,26,3.690892962927166,5.374032020568848,9.257382154464722,1715401570.9016871
2.026609089599544,27,1.4218771421651906,1.399231003237392,27,3.425840092836936,5.5106117725372314,9.393847942352295,1715401571.038153
2.025414623405386,28,1.440956426548373,1.3522210808465571,28,3.377635704251943,5.649116277694702,9.532358884811401,1715401571.1766639
1.7912413795987279,29,1.4043731096179262,1.389773666117756,29,3.181015045716484,5.785024642944336,9.668309450149536,1715401571.3126144
1.6936007090653364,30,1.378902886587074,1.3234914868683705,30,3.017092195933707,5.922401428222656,9.808313131332397,1715401571.4526181
1.7021726425039474,31,1.374160292916074,1.2781645632203609,31,2.9803372057243083,6.062984228134155,9.946265935897827,1715401571.590571
1.5502474350027302,32,1.323230113392369,1.269990217486841,32,2.8202376524895714,6.198970317840576,10.082234859466553,1715401571.7265399
1.4886801664982874,33,1.335982264901607,1.1846599578671293,33,2.6733401243654167,6.335417747497559,10.218671560287476,1715401571.8629766
1.373179765580715,34,1.2466175411311864,1.2054862917860223,34,2.5786660573667373,6.471368074417114,10.354646682739258,1715401571.9989517
1.3574214019907986,35,1.2612427066965095,1.0534690360661392,35,2.4108904380569376,6.608461618423462,10.49173355102539,1715401572.1360385
1.2246598686622623,36,1.267226850700224,1.0766271086644597,36,2.301286977326722,6.742897987365723,10.626150846481323,1715401572.2704558
1.1904287108929283,37,1.2211653365626185,1.0863479924730413,37,2.27677670336597,6.876088619232178,10.75935435295105,1715401572.4036593
1.207359409841011,38,1.2244139117324062,1.0140078296643984,38,2.221367239505409,7.009204626083374,10.892518997192383,1715401572.536824
1.0998429737713422,39,1.1855776380219893,1.0158323196475887,39,2.115675293418931,7.144243001937866,11.027485132217407,1715401572.6717901
1.1097715752861277,40,1.1643343939448068,0.9522669449664879,40,2.0620385202526155,7.278282165527344,11.161534547805786,1715401572.8058395
0.9832966112942446,41,1.10110607861471,0.8657482982359904,42,1.849044909530235,7.541731834411621,11.424988269805908,1715401573.0692933
0.8416247797582685,42,0.9871869119346641,0.6982853655512108,46,1.5399101453094795,8.06272268295288,11.945982694625854,1715401573.5902877
