loss_interior,_runtime,l2_error,loss,_step,_timestamp,loss_boundary,step,time
117.33196217064214,5.538855314254761,1.4855500398427952,118.81568917531203,0,1715409732.9314883,1.4837270046698947,0,1.2686176300048828
117.02881159782962,5.774543762207031,1.500438922602716,118.3526523511449,1,1715409733.1671767,1.3238407533152872,1,1.777437686920166
118.16026574951638,6.151309251785278,1.6070952519905402,119.28588724931073,2,1715409733.5439422,1.1256214997943543,2,2.154222011566162
105.01240622362015,6.527191400527954,2.6118586160576958,106.23910225358875,3,1715409733.9198244,1.226696029968613,3,2.529081344604492
97.64635564852449,7.001873731613159,2.6013797825562466,100.92881916375347,4,1715409734.3945067,3.282463515228981,4,3.004667043685913
91.2398964854481,7.538150072097778,1.4459374762944113,94.48215283691927,5,1715409734.930783,3.2422563514711706,5,3.5410640239715576
45.61219461751489,8.152622699737549,2.002788300422722,46.88371484353574,6,1715409735.5452557,1.271520226020854,6,4.154229640960693
14.61876688913673,8.77956247329712,1.7067430675592372,17.27043031346327,7,1715409736.1721954,2.65166342432654,7,4.7825140953063965
7.304699429270015,9.50919771194458,1.0837673400734016,9.211881066744958,8,1715409736.9018307,1.9071816374749428,8,5.512189149856567
1.359309711463474,10.368587493896484,0.5213571803954181,2.147402346879829,9,1715409737.7612205,0.7880926354163549,9,6.3715221881866455
0.3534611414614165,11.335119247436523,0.31508768766943995,0.542315105614469,10,1715409738.7277522,0.1888539641530525,10,7.338155746459961
0.07628714423743667,12.36247205734253,0.2546016379653468,0.15672366148123973,11,1715409739.755105,0.08043651724380305,11,8.365412712097168
0.03533170195729667,13.722082614898682,0.17921984871158123,0.09277863493457271,12,1715409741.1147156,0.05744693297727604,12,9.724750518798828
0.03590192506728385,14.838822841644287,0.1310122435376657,0.07149709989261457,13,1715409742.2314558,0.035595174825330714,13,10.841736078262329
0.02998811733478991,16.03445339202881,0.09358748503542556,0.04476100836852309,14,1715409743.4270864,0.014772891033733184,14,12.0371675491333
0.01866457842105823,17.606583833694458,0.06556972983147938,0.025554341197698588,15,1715409744.9992168,0.006889762776640356,15,13.609647750854492
0.007378269435474306,19.28329038619995,0.06055685407595021,0.011857591101446248,16,1715409746.6759233,0.004479321665971943,16,15.285984754562378
0.005446685611235743,21.363447904586792,0.05657899029157386,0.008749612991779704,17,1715409748.7560809,0.0033029273805439603,17,17.366323947906494
0.004887255383560099,23.522576093673706,0.05297324172477712,0.00796862507985433,18,1715409750.915209,0.0030813696962942306,18,19.525556802749634
0.0050719563133878815,25.232701539993286,0.04801591734562278,0.007306956915450592,19,1715409752.6253345,0.0022350006020627105,19,21.235345602035522
0.004518605322004724,27.974708795547485,0.04375976137892811,0.0066903970019505064,20,1715409755.3673418,0.002171791679945782,20,23.97760796546936
0.00451239902659748,29.932373046875,0.046903614510902095,0.006039604378302262,21,1715409757.325006,0.001527205351704783,21,25.935348749160767
0.0030944567076069255,34.037943840026855,0.037873485208234275,0.004826185477645873,22,1715409761.4305768,0.0017317287700389472,22,30.04089379310608
0.00219799891137968,36.908241510391235,0.042775993634602334,0.00344659402354018,23,1715409764.3008745,0.0012485951121605,23,32.91075611114502
0.00203369540243411,38.45951318740845,0.04309235428501312,0.0032684197765332724,24,1715409765.8521461,0.0012347243740991624,24,34.46216034889221
0.0019977169872301415,42.67986273765564,0.037276889851995294,0.0033682467588736003,25,1715409770.0724957,0.0013705297716434589,25,38.68247437477112
0.001773783212430936,46.90078806877136,0.03327452481196538,0.0030437584248743273,26,1715409774.293421,0.001269975212443391,26,42.90333795547485
0.0015693920946169184,48.77787446975708,0.031247291776648457,0.0026050417915223735,27,1715409776.1705074,0.001035649696905455,27,44.78048849105835
0.0014065935003980264,51.93512582778931,0.030036980179147296,0.002411707069477952,28,1715409779.3277588,0.0010051135690799257,28,47.9379403591156
0.0012832378149674297,56.09886932373047,0.02729246830753679,0.0020735653518674808,29,1715409783.4915023,0.0007903275369000513,29,52.10132098197937
0.0012009493488224885,58.33042931556702,0.024833829768104883,0.0018309327391835902,30,1715409785.7230623,0.0006299833903611016,30,54.33329176902771
0.0010553105675909517,60.026735067367554,0.023011160751674947,0.0015415613687877298,31,1715409787.419368,0.0004862508011967782,31,56.02926802635193
0.000990521675276126,64.37258863449097,0.02103018174549535,0.0014733141324107483,32,1715409791.7652216,0.00048279245713462216,32,60.375187158584595
0.0009839049506802922,65.9499762058258,0.019451638599412176,0.0013418726890927042,33,1715409793.3426092,0.00035796773841241194,33,61.952747106552124
0.0008807071968844256,68.51190686225891,0.017565100810743414,0.0011898368333265058,34,1715409795.9045398,0.0003091296364420801,34,64.51470732688904
0.0009587010833790404,70.05386471748352,0.0164561953194706,0.0011806039968133464,35,1715409797.4464977,0.00022190291343430604,35,66.0565025806427
0.0008719397294371147,71.594642162323,0.015494528415178316,0.0010664524846944162,36,1715409798.9872751,0.00019451275525730145,36,67.59756016731262
0.0008120803965685762,73.60225224494934,0.014843981573318663,0.0009920726797896908,37,1715409800.9948852,0.00017999228322111455,37,69.60506558418274
0.0007250931728863308,75.18077301979065,0.014920288224056978,0.0008757087735439147,38,1715409802.573406,0.00015061560065758394,38,71.18344950675964
0.0007195859061770221,76.72898936271667,0.014984882591229228,0.0008737113097204236,39,1715409804.1216223,0.00015412540354340143,39,72.73193192481995
0.0007085095083521257,78.12195539474487,0.01499449799981671,0.0008496676014979737,40,1715409805.5145884,0.00014115809314584814,40,74.12481784820557
0.0004911880755105484,84.47770571708679,0.014694055369336354,0.0006331343670089164,41,1715409811.8703387,0.00014194629149836803,42,80.48014569282532
