time,_timestamp,loss_boundary,step,loss_interior,loss,_step,_runtime,l2_error
1.1168971061706543,1715403621.1286886,1.4837270046698947,0,117.33196217064214,118.81568917531203,0,8.280668497085571,1.5828730676162803
1.4196670055389404,1715403621.1623683,1.5495313655045762,1,119.39891427680186,120.94844564230644,1,8.314348220825195,1.5822111066552955
1.4541611671447754,1715403621.198042,1.4213545883793226,2,124.28641534092428,125.7077699293036,2,8.350021839141846,1.5812511324352172
1.4902880191802979,1715403621.2347398,1.4932029208411377,3,119.46097359006696,120.9541765109081,3,8.386719703674316,1.5800589083594159
1.517418384552002,1715403621.2613766,1.6284014828179516,4,119.94504058183202,121.57344206464997,4,8.41335654258728,1.5786551896410121
1.5418040752410889,1715403621.2863328,1.585708737755229,5,126.75717271427189,128.34288145202711,5,8.438312768936157,1.5770391825998995
1.5684304237365723,1715403621.3132741,1.4714465655474844,6,122.73672323248044,124.20816979802792,6,8.465254068374634,1.5752437685518503
1.5952255725860596,1715403621.3400052,1.5883662219834083,7,117.8617516956533,119.4501179176367,7,8.491985082626343,1.573289940722197
1.6229026317596436,1715403621.3670356,1.5656683352811702,8,123.31219624883342,124.87786458411459,8,8.519015550613403,1.5712058633897414
1.6547958850860596,1715403621.399392,1.5170029381406853,9,116.85450928796277,118.37151222610346,9,8.551371812820435,1.5690022200169857
1.681424856185913,1715403621.4272034,1.5600577434977978,10,120.0680206158373,121.62807835933509,10,8.579183340072632,1.5666490311743086
1.7095048427581787,1715403621.4539573,1.3584087298812522,11,126.59843889324233,127.95684762312358,11,8.605937242507935,1.5641447893220746
1.736668586730957,1715403621.4809153,1.4816359696425025,12,117.81717123891215,119.29880720855465,12,8.632895231246948,1.5614914169376253
1.7633423805236816,1715403621.5076973,1.5135938375377094,13,116.88139076753902,118.39498460507673,13,8.659677267074585,1.5586538348296994
1.7898774147033691,1715403621.5342247,1.4055119419988986,14,125.36582441619123,126.77133635819013,14,8.686204671859741,1.5555757512237003
1.8163132667541504,1715403621.5604916,1.3980602274459506,15,120.13203127312279,121.53009150056874,15,8.71247148513794,1.5522639475742634
1.8423807621002197,1715403621.5865738,1.421471163149458,16,125.20827020474034,126.6297413678898,16,8.738553762435913,1.5486380692234292
1.8688900470733643,1715403621.613091,1.4649832609540883,17,126.49961373300502,127.9645969939591,17,8.765070915222168,1.5446185686521845
1.8955116271972656,1715403621.6395657,1.6515251467502226,18,122.03960373759138,123.6911288843416,18,8.791545629501343,1.540143662338736
1.9216904640197754,1715403621.664967,1.3462254575677515,19,121.1365431592939,122.48276861686165,19,8.816946983337402,1.535144321400353
1.9480040073394775,1715403621.6908364,1.288381769576523,20,118.63218584946529,119.9205676190418,20,8.842816352844238,1.529583146678139
1.972919225692749,1715403621.7162416,1.456563748358767,21,126.13344589582884,127.5900096441876,21,8.868221521377563,1.523196274391372
1.9972918033599854,1715403621.7408834,1.3225085012121247,22,119.13886573002475,120.46137423123687,22,8.892863273620605,1.5159138246855774
2.0228121280670166,1715403621.7657619,1.369805688685053,23,120.8757612455078,122.24556693419285,23,8.917741775512695,1.507445359385675
2.0470316410064697,1715403621.7906098,1.4930506123689198,24,116.88417905817046,118.37722967053938,24,8.94258975982666,1.4975650698320835
2.0727598667144775,1715403621.8156843,1.2253052306694487,25,119.33149622230957,120.55680145297902,25,8.967664241790771,1.4857463500225436
2.0972156524658203,1715403621.8407865,1.3259879328606385,26,123.26895897733736,124.594946910198,26,8.992766380310059,1.4712837584282543
2.1230781078338623,1715403621.8658838,1.3002229012891795,27,123.51403518172974,124.81425808301891,27,9.017863750457764,1.4531301839086452
2.1624534130096436,1715403621.9050803,1.3546770583113685,28,117.08035216809346,118.43502922640482,28,9.057060241699219,1.4301060396841545
2.185263156890869,1715403621.9287314,1.1948570890775458,29,117.41741857861801,118.61227566769556,29,9.080711364746094,1.4001226556344504
2.2101240158081055,1715403621.9531593,1.1077879136443776,30,119.61258115370903,120.7203690673534,30,9.105139255523682,1.3593852720872193
2.2339179515838623,1715403621.9769938,1.0273906826659212,31,114.21666904830032,115.24405973096624,31,9.128973722457886,1.303134472790447
2.2584445476531982,1715403622.0012708,0.9863852557340975,32,107.78037473272695,108.76675998846105,32,9.153250694274902,1.2253571435561945
2.2808992862701416,1715403622.0243046,0.8632489301913921,33,107.68807766903556,108.55132659922695,33,9.176284551620483,1.1202246063637302
2.305375814437866,1715403622.0488658,0.7077621295929266,34,95.54585538414521,96.25361751373813,34,9.200845718383789,1.006458624151429
2.330603837966919,1715403622.0737307,0.5953671513154368,35,82.40209151805708,82.99745866937252,35,9.22571063041687,0.9725331817150575
2.354971170425415,1715403622.098553,0.561369269184227,36,76.4535947631202,77.01496403230442,36,9.250532865524292,0.9401939624350243
2.386523485183716,1715403622.1302748,0.5501883950366847,37,79.70749986210775,80.25768825714444,37,9.282254695892334,0.5488641058318076
2.4123494625091553,1715403622.1553307,0.20900087340584506,38,47.90759082191457,48.11659169532041,38,9.307310581207275,0.9830547311482457
2.43742036819458,1715403622.1804109,0.4247658546293672,39,69.07432378910757,69.49908964373694,39,9.332390785217285,2.02244047719508
2.4629476070404053,1715403622.2058709,1.9283453611614358,40,109.88286151345827,111.8112068746197,40,9.357850790023804,1.8900328618744449
2.5083236694335938,1715403622.2513041,0.6095551148314344,42,78.53230634177832,79.14186145660976,41,9.403284072875977,1.3293145165366285
2.598827600479126,1715403622.3424482,2.0827193478695656,46,88.86896549775317,90.95168484562274,42,9.494428157806396,1.7161109448727354
