time,step,_timestamp,loss_interior,_runtime,loss_boundary,_step,l2_error,loss
1.318925380706787,0,1715411489.287635,117.33196217064214,5.514753103256226,1.4837270046698947,0,1.328408775959022,118.81568917531203
1.9764230251312256,1,1715411489.6222367,107.67331209543114,5.8493547439575195,1.0605991578665912,1,1.4275577195975813,108.73391125329773
2.326460599899292,2,1715411489.9721968,73.9470662228431,6.199314832687378,1.0591944758837366,2,0.6506239366899673,75.00626069872685
2.6879830360412598,3,1715411490.3336954,39.43261138100194,6.5608134269714355,0.2825397619955984,3,0.978132393611425,39.71515114299754
3.094118118286133,4,1715411490.7399826,20.448490181076494,6.967100620269775,0.7109418822055614,4,1.8717640354446612,21.159432063282054
3.5332906246185303,5,1715411491.1790974,10.777735632396825,7.40621542930603,2.5578323351933907,5,2.2471785886991125,13.335567967590215
4.057240962982178,6,1715411491.7031364,4.377371742782958,7.9302544593811035,3.361809834068161,6,1.6467965405046172,7.739181576851118
4.594445705413818,7,1715411492.2406375,2.3753186395339054,8.467755556106567,1.9751329227947592,7,0.8254629500994053,4.350451562328665
5.171056270599365,8,1715411492.816917,1.373736760097463,9.044034957885742,0.45543847358527506,8,0.3494073243961249,1.829175233682738
5.788740396499634,9,1715411493.43468,0.5778196387634598,9.661798000335693,0.08843016334463562,9,0.1974085171964878,0.6662498021080954
6.446275472640991,10,1715411494.093596,0.25787103492567437,10.320713996887207,0.03531701226919273,10,0.17955626985734666,0.29318804719486713
7.141134977340698,11,1715411494.7870007,0.1371905782124402,11.014118671417236,0.026896616753197832,11,0.1575179060059999,0.16408719496563803
7.824152946472168,12,1715411495.4700572,0.06050591571395483,11.69717526435852,0.021676639703644474,12,0.13249770186952117,0.0821825554175993
8.50876522064209,13,1715411496.1548917,0.044218349704939666,12.382009744644165,0.019584746264403066,13,0.09969692567994827,0.06380309596934274
9.207682371139526,14,1715411496.8536685,0.03418390356890827,13.08078646659851,0.010162807108571082,14,0.08500673395244045,0.04434671067747935
9.89690351486206,15,1715411497.5428114,0.028494453356912326,13.7699294090271,0.006395925765189804,15,0.07613135866074913,0.03489037912210213
10.582761526107788,16,1715411498.2286642,0.022671226666405486,14.455782175064087,0.006474538062464286,16,0.07241327510490188,0.02914576472886977
11.27892804145813,17,1715411498.9248881,0.022759062788368836,15.152006149291992,0.005614410543108472,17,0.0677982296692313,0.028373473331477307
11.967700958251953,18,1715411499.613582,0.018268117692366855,15.840699911117554,0.005076344441132496,18,0.06305800962474221,0.02334446213349935
12.65644359588623,19,1715411500.3025784,0.017373546573083872,16.529696464538574,0.004190498206128888,19,0.05957263575396527,0.02156404477921276
13.346479177474976,20,1715411500.9925783,0.01464947767062084,17.219696283340454,0.0036240696025682554,20,0.05443629882955689,0.018273547273189094
14.042547702789307,21,1715411501.6884542,0.013224764150735327,17.91557216644287,0.0031435195441915057,21,0.04658788592115944,0.016368283694926832
14.727698564529419,22,1715411502.3736315,0.012259764428719136,18.600749492645264,0.0021514768931376604,22,0.039129216166805154,0.014411241321856796
15.421070575714111,23,1715411503.066967,0.011378737160023578,19.294085025787354,0.0016687771080168647,23,0.03393041672620127,0.013047514268040442
16.098328828811646,24,1715411503.7442358,0.00944555236568414,19.971353769302368,0.001126836666268376,24,0.03164667685627617,0.010572389031952517
16.787590980529785,25,1715411504.4334614,0.008787109899615052,20.660579442977905,0.0010198729707008045,25,0.029576925206256134,0.009806982870315856
17.472121238708496,26,1715411505.1179616,0.008891096603960676,21.34507966041565,0.0009234082004372648,26,0.027506207807894815,0.00981450480439794
18.15851640701294,27,1715411505.8043997,0.007896837016877701,22.03151774406433,0.0007183499997619682,27,0.02533905697543324,0.008615187016639669
18.83448553085327,28,1715411506.480376,0.0069476350948319675,22.707494020462036,0.0007014686344399042,28,0.02396490662888754,0.007649103729271872
19.52682876586914,29,1715411507.1727045,0.007000540014305782,23.399822473526,0.0005563209742818121,29,0.02330944848012389,0.007556860988587594
20.21051025390625,30,1715411507.8564148,0.00631428628541371,24.08353281021118,0.0005707132005408531,30,0.02253333808346852,0.006884999485954562
20.909372091293335,31,1715411508.5553646,0.006216473447010192,24.782482624053955,0.0004947656886138008,31,0.0207691510302778,0.006711239135623993
21.602887868881226,32,1715411509.248769,0.0054759643007800006,25.475887060165405,0.00042713194781112773,32,0.019820393568086188,0.005903096248591129
22.288208961486816,33,1715411509.934299,0.005440948956309998,26.16141700744629,0.0004644372330064999,33,0.019879519516749055,0.0059053861893164986
22.9737548828125,34,1715411510.6196222,0.0053521946708888785,26.846740245819092,0.0003662548045843397,34,0.019590119579065753,0.0057184494754732185
23.666438341140747,35,1715411511.3123856,0.005247116225694632,27.539503574371338,0.0003965727598095991,35,0.02074733933720118,0.005643688985504231
24.359485387802124,36,1715411512.0053532,0.005297849199512597,28.232471227645874,0.00042801842212578616,36,0.018334061685897213,0.005725867621638383
25.040016412734985,37,1715411512.6858993,0.004602377161458032,28.91301727294922,0.0002922383651325432,37,0.01844362954096544,0.0048946155265905756
25.727192401885986,38,1715411513.3731012,0.004719347666793418,29.600219249725342,0.0003380495497810176,38,0.0196567981128419,0.005057397216574435
26.40645694732666,39,1715411514.0523734,0.004304572361034032,30.279491424560547,0.0004436071057075191,39,0.02077858228840904,0.004748179466741552
27.090827703475952,40,1715411514.7367165,0.0040410659384169,30.963834524154663,0.00042834771381820125,40,0.021370734418785422,0.004469413652235101
28.466691255569458,42,1715411516.1125574,0.0038745114950448803,32.339675426483154,0.0003752174382228435,41,0.020089706257513367,0.004249728933267724
