_runtime,_timestamp,loss_boundary,time,l2_error,_step,loss,loss_interior,step
55.50472283363342,1715371515.0191607,0.008301188055798292,51.068142890930176,0.6123197403597714,0,50.36122180168217,50.352920613626374,0
104.95631527900696,1715371564.4707532,0.00829695420268498,100.97358965873718,0.612174886381925,1,50.36025802796196,50.35196107375928,1
154.74318480491638,1715371614.2576227,0.00827417575190443,150.7602732181549,1.8961862338496474,2,50.358273260001965,50.34999908425006,2
204.05214881896973,1715371663.5665867,2.6975429733584426,200.06976556777954,1.7925706976447107,3,42.50005183461191,39.802508861253465,3
254.70091199874878,1715371714.21535,2.447902301906575,250.71669483184814,1.8288617156574145,4,41.09868538712436,38.65078308521779,4
306.6138083934784,1715371766.1282463,2.504517282616581,302.63094878196716,1.808817136969651,5,40.27250684858837,37.76798956597179,5
358.27656984329224,1715371817.7910078,2.454673434204312,354.2936451435089,1.3622017031641622,6,39.89842444163269,37.44375100742838,6
409.83295249938965,1715371869.3473904,1.5833376562621868,405.8501718044281,1.3384420739928964,7,37.480470907477645,35.89713325121546,7
461.37155079841614,1715371920.8859887,1.4077074198413233,457.3886408805847,0.508694749384279,8,32.77870294985203,31.370995530010706,8
512.7778532505035,1715371972.2922912,0.280131001485535,508.79515194892883,0.388062065844634,9,11.539923028167548,11.259792026682014,9
564.3570520877838,1715372023.87149,0.15937373124803395,560.3740651607513,0.19570043875408735,10,6.965040158842065,6.805666427594031,10
615.8624005317688,1715372075.3768384,0.033730815421701324,611.8794476985931,0.0702229581804915,11,1.8245071448307095,1.7907763294090082,11
667.2055835723877,1715372126.7200215,0.004201368047943206,663.2227501869202,0.040536752618353745,12,0.7845221870504602,0.7803208190025169,12
718.8515274524689,1715372178.3659654,0.0011372654152327977,714.8685717582703,0.01874277032688051,13,0.11393689798776836,0.11279963257253557,13
770.4653460979462,1715372229.979784,0.00034927290963371755,766.4825778007507,0.0029524935849890737,14,0.010296928316129706,0.00994765540649599,14
822.2223958969116,1715372281.7368338,6.795983806210918e-06,818.2393872737885,0.0003381576050907429,15,0.0006996338409401915,0.0006928378571339805,15
873.8812246322632,1715372333.3956625,6.094415696929284e-08,869.8984274864197,1.2277055615174874e-05,16,2.2274529920550673e-06,2.1665088350857743e-06,16
925.6597592830658,1715372385.1741972,1.4651047057590027e-10,921.6766946315765,4.340882887969017e-06,17,1.8134268340794632e-09,1.666916363503563e-09,17
977.4741859436035,1715372436.9886239,6.987140317739567e-11,973.4913663864136,4.327989733747739e-06,18,1.929853468572487e-10,1.2311394367985303e-10,18
1029.36053109169,1715372488.874969,6.984186285753897e-11,1025.3774869441986,4.327736572816945e-06,19,1.9278745430183976e-10,1.2294559144430078e-10,19
