_runtime,loss_interior,loss,_timestamp,l2_error,loss_boundary,step,time,_step
5.1506218910217285,50.352920613626374,50.36122180168217,1715369059.5219378,0.9226396989720934,0.008301188055798292,0,1.1377935409545898,0
5.3959059715271,11.841235998532095,12.709139358112317,1715369059.767222,1.0867097876742793,0.8679033595802226,1,1.6486380100250244,1
5.639610290527344,3.134742579574019,4.158226873368852,1715369060.0109262,1.0025056858017325,1.0234842937948325,2,1.8923673629760742,2
5.965458393096924,1.7261162693820031,2.6825799639343777,1715369060.3367743,0.5143341605959217,0.9564636945523747,3,2.2182908058166504,3
6.305194139480591,1.219890963610232,1.3914554524126612,1715369060.67651,0.3071485087026366,0.17156448880242917,4,2.558009624481201,4
6.663865566253662,0.2980907975468396,0.40356660266301186,1715369061.0351815,0.17072513645578816,0.10547580511617227,5,2.9166910648345947,5
7.051713228225708,0.10039511820142277,0.13085296708562863,1715369061.4230292,0.08355132793066455,0.030457848884205847,6,3.3045406341552734,6
7.443850755691528,0.02992382243835021,0.040476108597249566,1715369061.8151667,0.06683324813539397,0.010552286158899355,7,3.6966545581817627,7
7.948992013931274,0.01975691700755007,0.02599685198565603,1715369062.320308,0.054062263367915246,0.00623993497810596,8,4.198234796524048,8
8.44807505607605,0.014068625880198209,0.020133247343759153,1715369062.819391,0.05921465309003777,0.006064621463560943,9,4.7007386684417725,9
8.871153354644775,0.010182442757517328,0.015538617902705243,1715369063.2424693,0.05454946809257783,0.005356175145187915,10,5.123866081237793,10
9.286576986312866,0.00608376712364423,0.011389667382419286,1715369063.657893,0.05816171351725077,0.0053059002587750575,11,5.537957429885864,11
9.696682453155518,0.004463467994711218,0.010000388625887337,1715369064.0679984,0.053598224187778855,0.005536920631176119,12,5.949418067932129,12
10.125964641571045,0.003488498057791548,0.007932947983508635,1715369064.4972806,0.047723797230201356,0.004444449925717087,13,6.378739833831787,13
10.53460168838501,0.0030366812025982536,0.006757959910543567,1715369064.9059176,0.04714471110828994,0.003721278707945313,14,6.7873616218566895,14
11.051215887069702,0.002495758340417557,0.00587176181086476,1715369065.4225318,0.04545958094204718,0.003376003470447204,15,7.3038294315338135,15
11.474921941757202,0.0021391692490486643,0.005321852949461992,1715369065.846238,0.04237615804793105,0.003182683700413327,16,7.727633237838745,16
11.867249250411987,0.0018351826436634872,0.004601167888738534,1715369066.2385652,0.037038174059430544,0.0027659852450750465,17,8.12001085281372,17
12.372684001922607,0.001459913249001189,0.0035392661910188736,1715369066.744,0.0336878293740695,0.002079352942017685,18,8.625466585159302,18
12.878620147705078,0.0013742806618757388,0.0030881740548792435,1715369067.249936,0.03080135524999406,0.001713893393003505,19,9.131298780441284,19
13.370222091674805,0.0010111482503093016,0.0025399489891547097,1715369067.741538,0.028454229812724913,0.0015288007388454081,20,9.622958183288574,20
13.88477873802185,0.0009861657192077073,0.002400479070487506,1715369068.2560947,0.027635096740455504,0.0014143133512797988,21,10.137369394302368,21
14.295777559280396,0.0009826662860844989,0.0022663121174824052,1715369068.6670935,0.025664383423466528,0.0012836458313979062,22,10.548474550247192,22
14.82011604309082,0.0008236448986450025,0.0019544331253220338,1715369069.191432,0.022346415043599285,0.0011307882266770313,23,11.072805643081665,23
15.323903322219849,0.0007622874339187806,0.00162088509627104,1715369069.6952193,0.02158362450099035,0.0008585976623522594,24,11.576421737670898,24
15.75487995147705,0.0006900725299046909,0.0014262910531870942,1715369070.126196,0.02131001928649234,0.0007362185232824032,25,12.00764012336731,25
16.146008729934692,0.0006107273938985743,0.0013090233040810272,1715369070.5173247,0.02002475838590917,0.000698295910182453,26,12.398730516433716,26
16.549457788467407,0.0005747350596268367,0.0011810884317231722,1715369070.9207737,0.016759087258488833,0.0006063533720963356,27,12.802218675613403,27
16.98275852203369,0.000605324099441354,0.0010698211266223629,1715369071.3540745,0.014534386015297631,0.0004644970271810088,28,13.235460758209229,28
17.375839948654175,0.0005679824837335271,0.0009648273571847713,1715369071.747156,0.01415327923556021,0.0003968448734512442,29,13.628581762313843,29
17.773234128952026,0.00043525842322188527,0.0008134425217539614,1715369072.14455,0.011797004441879347,0.00037818409853207605,30,14.025950908660889,30
18.29885959625244,0.0004304173434631007,0.0006903293872919512,1715369072.6701756,0.008939577052301632,0.0002599120438288505,31,14.551499605178833,31
18.71728491783142,0.00044842566651187994,0.0006082538471029765,1715369073.0886009,0.007989295105607731,0.00015982818059109664,32,14.969951629638672,32
19.19525909423828,0.00045125971310924995,0.0005805374200430998,1715369073.566575,0.006489969171307549,0.00012927770693384988,33,15.448004245758057,33
19.70939064025879,0.00041407432628192255,0.0005078916681849296,1715369074.0807066,0.0068538741211803585,9.38173419030071e-05,34,15.962104082107544,34
20.204639673233032,0.00037517567813342176,0.00046775442530550015,1715369074.5759556,0.007166531554779681,9.257874717207839e-05,35,16.457333087921143,35
20.688442707061768,0.00032344344723261875,0.0004317178854200823,1715369075.0597587,0.005608437233803893,0.00010827443818746353,36,16.94103717803955,36
21.179670572280884,0.00031334241922441374,0.0003806704566057264,1715369075.5509865,0.004659629356323129,6.732803738131269e-05,37,17.432267904281616,37
21.57158398628235,0.0003124662119459224,0.00036089369396423757,1715369075.9429,0.005814923316501196,4.842748201831514e-05,38,17.82432794570923,38
22.049566745758057,0.0002527787219239004,0.0003162389557966153,1715369076.4208827,0.004934508314327636,6.346023387271491e-05,39,18.302313327789307,39
22.44168210029602,0.00024506600497419727,0.00029601842189362073,1715369076.812998,0.005236302610412101,5.095241691942348e-05,40,18.694419384002686,40
