_timestamp,loss_interior,time,loss,step,_runtime,l2_error,loss_boundary,_step
1715372533.3494492,50.352920613626374,1.0535566806793213,50.36122180168217,0,5.369418144226074,0.6123490811421108,0.008301188055798292,0
1715372533.4545166,50.352920613626374,1.4915297031402588,50.36122180168217,1,5.474485635757446,1.6813465464069206,0.008301188055798292,1
1715372533.750503,43.64247231579987,1.7877418994903564,44.52436905080024,2,5.770472049713135,4.47242854446792,0.8818967350003697,2
1715372534.218569,35.41832792431424,2.2558176517486572,44.085974679540755,3,6.238538026809692,4.0653581157994525,8.667646755226516,3
1715372534.644326,33.56358238723908,2.6799819469451904,40.59961435301973,4,6.664294958114624,2.702577570468284,7.036031965780654,4
1715372535.0766277,32.770015527765935,3.1138834953308105,35.624546095810445,5,7.096596717834473,0.9357315715070431,2.8545305680445106,5
1715372535.552588,27.57947983766264,3.5898232460021973,27.84395949270591,6,7.572556972503662,0.8480155216557577,0.2644796550432693,6
1715372536.015675,27.258420313028445,4.052935361862183,27.439733861331845,7,8.035644054412842,0.8601288970571443,0.18131354830340107,7
1715372536.466397,26.08551601194159,4.503590106964111,26.274383583249058,8,8.486366033554077,0.4448537552262097,0.18886757130746912,8
1715372536.921984,22.260701026594422,4.959181547164917,22.308568247354234,9,8.94195294380188,0.5250084104231314,0.04786722075981214,9
1715372537.3038442,21.785655885133504,5.341103792190552,21.830815093005516,10,9.323813199996948,0.27471555575243667,0.04515920787201122,10
1715372537.690858,10.896033636917897,5.728119134902954,10.929739931638487,11,9.710826873779297,0.6482537697571511,0.033706294720589704,11
1715372538.1039314,9.945716122001073,6.141193389892578,10.0634836301042,12,10.123900413513184,0.4127379772111814,0.11776750810312658,12
1715372538.484666,6.305877655350863,6.521884441375732,6.443080122975915,13,10.504635095596313,1.0920398575816876,0.13720246762505184,13
1715372538.8926706,5.99262809931694,6.929916858673096,6.568323880116873,14,10.912639617919922,0.15515705693441148,0.5756957807999329,14
1715372539.3246307,0.40405665672603913,7.36187744140625,0.42943419372990976,15,11.344599723815918,0.1604551353118546,0.02537753700387062,15
1715372539.8006518,0.09030621736797874,7.837888240814209,0.12155866580937282,16,11.820620775222778,0.14381171736352463,0.031252448441394076,16
1715372540.2623951,0.010387663871795709,8.299673795700073,0.03777020419337429,17,12.282364130020142,0.12719092150788336,0.027382540321578584,17
1715372540.8794706,0.0063388726276518564,8.916640281677246,0.028707767179123263,18,12.899439573287964,0.11669968201125902,0.022368894551471407,18
1715372541.507733,0.005092432192202188,9.544964075088501,0.024428385194223967,19,13.52770209312439,0.10977087323594231,0.019335953002021778,19
1715372542.2110457,0.004529072434409092,10.248293161392212,0.021887820471625963,20,14.231014728546143,0.10039352420130826,0.01735874803721687,20
1715372542.9168422,0.004539956173520266,10.954043865203857,0.019595286921338564,21,14.936811208724976,0.0922786498672575,0.015055330747818299,21
1715372543.622572,0.004521510411063782,11.659825563430786,0.017549974660819263,22,15.64254093170166,0.08499227891324501,0.013028464249755482,22
1715372544.335377,0.004580466962029863,12.372579574584961,0.015820719933002388,23,16.355345964431763,0.07819399539374662,0.011240252970972524,23
1715372545.1723235,0.004705996084700586,13.209511041641235,0.014359916752702307,24,17.19229245185852,0.07166747267649144,0.009653920668001722,24
1715372545.9458148,0.004566986759392107,13.983057975769043,0.01270688993606041,25,17.965783834457397,0.06698515620937802,0.008139903176668304,25
1715372546.6066794,0.00447264026967626,14.643925428390503,0.01162178467715097,26,18.626648426055908,0.0623600703711214,0.007149144407474711,26
1715372547.3805094,0.004499802507986339,15.417724609375,0.010673117466967648,27,19.40047836303711,0.05803496277435255,0.006173314958981309,27
1715372548.221978,0.0044010502455846855,16.259183406829834,0.009735648228369755,28,20.241946935653687,0.05346538520507574,0.005334597982785069,28
1715372548.8038952,0.004254574319550022,16.840930700302124,0.008778073827904147,29,20.823864221572876,0.04993466468572277,0.004523499508354125,29
1715372549.8047493,0.004303948387431174,17.841987133026123,0.00822097083817723,30,21.824718236923218,0.04617126697799002,0.003917022450746057,30
1715372550.4849613,0.004250911760060919,18.52214026451111,0.007593169493034098,31,22.50493025779724,0.04248010280845644,0.0033422577329731795,31
1715372551.6320086,0.004001627135865435,19.669262886047363,0.006824866959353323,32,23.6519775390625,0.03905079775444967,0.0028232398234878876,32
1715372552.5294018,0.003943673797811195,20.566627264022827,0.006354983642479089,33,24.549370765686035,0.03462244332464377,0.0024113098446678946,33
1715372553.0147586,0.003887612561170435,21.052008152008057,0.005813287085455602,34,25.034727573394775,0.030311836564107738,0.0019256745242851668,34
1715372553.5393026,0.0036597477135220362,21.57652735710144,0.00514860544173751,35,25.559271574020386,0.025087966138089824,0.0014888577282154733,35
1715372554.0401685,0.003553658661871851,22.077388525009155,0.004576955234012081,36,26.060137510299683,0.018814664618947187,0.00102329657214023,36
1715372554.994271,0.003561356420986628,23.031492710113525,0.00413173685153443,37,27.014240026474,0.013633637460808807,0.0005703804305478023,37
1715372555.4005542,0.0033803986351851043,23.43781065940857,0.003686976426785211,38,27.420523166656494,0.00869691920637786,0.0003065777916001066,38
1715372556.7995427,0.0030560811241522115,24.83674931526184,0.003193735435760509,39,28.819511651992798,0.007363648864498194,0.0001376543116082974,39
1715372557.2994397,0.0025167234273114946,25.33669114112854,0.0025993289445300025,40,29.319408655166626,0.006836464597833436,8.260551721850807e-05,40
1715372558.4579315,0.0022834682138609124,26.49519157409668,0.0023345243083514955,42,30.477900505065918,0.006787327932613667,5.1056094490582954e-05,41
