_step,loss,time,loss_boundary,step,loss_interior,_runtime,l2_error,_timestamp
0,50.36122180168217,1.4518976211547852,0.008301188055798292,0,50.352920613626374,5.848742485046387,0.6123470963905516,1715373441.9711094
1,50.36119812781135,1.8982529640197754,0.008300909250955522,1,50.35289721856039,5.942137956619263,0.5811445764970674,1715373442.0645049
2,218.1028825032151,1.980445146560669,0.09688053926816945,2,218.00600196394694,6.024258852005005,0.43602880509850406,1715373442.1466258
3,38.78391512866793,2.0627312660217285,0.2548843777271507,3,38.52903075094078,6.106566667556763,1.3190297132107394,1715373442.2289336
4,38.09416078869896,2.1394150257110596,1.427412204315723,4,36.666748584383235,6.183013916015625,1.1468476355702937,1715373442.3053808
5,9.388288941161036,2.2125110626220703,1.1699609192634213,5,8.218328021897616,6.256116151809692,0.9692727543774754,1715373442.378483
6,5.906643783854268,2.2858452796936035,0.8850790018991899,6,5.021564781955078,6.329395532608032,0.8744123276177033,1715373442.4517624
7,5.973405947996304,2.358036518096924,0.6760162410467706,7,5.2973897069495335,6.40162467956543,0.838856479487285,1715373442.5239916
8,1.940959564202365,2.4316306114196777,0.6462409973770136,8,1.2947185668253514,6.476520538330078,0.7184011059068061,1715373442.5988874
9,1.583584019515681,2.5073564052581787,0.48519333508630513,9,1.0983906844293758,6.55094051361084,0.668458523366606,1715373442.6733074
10,0.8013971286720671,2.582624912261963,0.4165221747282895,10,0.38487495394377763,6.626216411590576,0.606734653519571,1715373442.7485833
11,0.5463556128873079,2.659647226333618,0.33209817798428976,11,0.21425743490301813,6.7032310962677,0.5174517094221923,1715373442.825598
12,0.5614416119205947,2.7321155071258545,0.2422549708669291,12,0.3191866410536657,6.775674343109131,0.4480413443878736,1715373442.8980412
13,0.29364746859903884,2.8054418563842773,0.1817743451400718,13,0.11187312345896705,6.849031209945679,0.42777868310986833,1715373442.971398
14,0.23808773763724972,2.878615379333496,0.16297337273833185,14,0.07511436489891786,6.922239542007446,0.37504533384076694,1715373443.0446064
15,0.1935368784794439,2.9524738788604736,0.1272615541107059,15,0.066275324368738,6.996074676513672,0.3289879569586299,1715373443.1184416
16,0.1669723949019839,3.0258240699768066,0.09979700355000264,16,0.06717539135198125,7.069392919540405,0.3096726591913571,1715373443.1917598
17,0.11643242968949039,3.098884344100952,0.08769871002760984,17,0.02873371966188054,7.142479181289673,0.28258603310128677,1715373443.264846
18,0.10298761657050327,3.1724398136138916,0.07337939031847227,18,0.029608226252031012,7.216055870056152,0.23647582777466422,1715373443.3384228
19,0.07850584643468947,3.2456090450286865,0.05375520918710799,19,0.024750637247581475,7.28923225402832,0.20515126664795416,1715373443.4115992
20,0.08019712820228761,3.3186869621276855,0.040903480202318175,20,0.03929364799996944,7.362316370010376,0.20080892218590068,1715373443.4846833
21,0.051188959316973086,3.3921959400177,0.039186924206381625,21,0.012002035110591459,7.4358110427856445,0.18236872754921452,1715373443.558178
22,0.04253268057958714,3.4670193195343018,0.033046974097033645,22,0.009485706482553494,7.510617017745972,0.15616268907924322,1715373443.632984
23,0.04183736831587996,3.540820598602295,0.024805987543121747,23,0.017031380772758214,7.5843939781188965,0.1498224126128713,1715373443.706761
24,0.030117175970019984,3.6141228675842285,0.023310943592255474,24,0.00680623237776451,7.657697916030884,0.13962353444998518,1715373443.7800648
25,0.026702180211935975,3.6872870922088623,0.020599615980439103,25,0.00610256423149687,7.73088526725769,0.1276253245752013,1715373443.8532522
26,0.023684405694602607,3.761174201965332,0.01768222744495868,26,0.006002178249643927,7.8047776222229,0.10791584392294158,1715373443.9271445
27,0.03139660441060199,3.833718776702881,0.01392785937217352,27,0.01746874503842847,7.877300500869751,0.10640548009959941,1715373443.9996674
28,0.018545080119150955,3.9075896739959717,0.013475104088076648,28,0.005069976031074306,7.951169013977051,0.10890475982281705,1715373444.073536
29,0.05363219056301166,3.9815657138824463,0.014367282126330812,29,0.039264908436680845,8.025208711624146,0.10532692130601352,1715373444.1475756
30,0.019886674382085055,4.056141138076782,0.013340782729146442,30,0.006545891652938614,8.099736452102661,0.10227562845471191,1715373444.2221034
31,0.01887689452411894,4.129121780395508,0.012653001831638295,31,0.006223892692480645,8.172733545303345,0.10006257277455866,1715373444.2951005
32,0.03053193644086287,4.202287673950195,0.012663410518603748,32,0.017868525922259123,8.245895147323608,0.09927799510707054,1715373444.368262
33,0.015981522935585354,4.276632785797119,0.01228915429480693,33,0.0036923686407784235,8.320227861404419,0.11091204544320175,1715373444.4425948
34,0.025557421367062617,4.350370168685913,0.012895429057296558,34,0.012661992309766059,8.393964767456055,0.09845089964604176,1715373444.5163317
