loss_interior,time,l2_error,step,_runtime,loss_boundary,_timestamp,loss,_step
50.352920613626374,1.4145245552062988,0.4423279087345406,0,5.58766508102417,0.008301188055798292,1715370008.2973042,50.36122180168217,0
49.52157919918137,2.168088674545288,0.37631251283694234,1,5.897310256958008,0.0034179257796575074,1715370008.6069493,49.524997124961025,1
45.10895732970646,2.4493637084960938,0.3254946791571895,2,6.178406476974487,0.020072092689232945,1715370008.8880455,45.129029422395696,2
33.84616204566919,2.727149486541748,0.324646302361997,3,6.456194877624512,0.05043439725108588,1715370009.165834,33.89659644292028,3
25.70561426737934,3.008889675140381,0.2799749964781331,4,6.739320993423462,0.13303360637758374,1715370009.44896,25.838647873756923,4
19.471482887010623,3.290642261505127,0.39200967244432533,5,7.019818067550659,0.08832850402831749,1715370009.7294571,19.55981139103894,5
13.75570463137441,3.579242706298828,0.29156085467946374,6,7.308376312255859,0.16168346390817034,1715370010.0180154,13.91738809528258,6
10.351166672863323,3.8606338500976562,0.36603072256056274,7,7.589698553085327,0.08613469556913594,1715370010.2993376,10.43730136843246,7
7.5290075966088565,4.14307975769043,0.33905747916973766,8,7.872315168380737,0.1352216763672915,1715370010.5819542,7.664229272976148,8
6.3583950793506805,4.427186965942383,0.3079742872328991,9,8.158902406692505,0.11723537537455515,1715370010.8685415,6.475630454725236,9
5.274226912527315,4.7114317417144775,0.38067311287238775,10,8.440641164779663,0.09565351094028247,1715370011.1502802,5.369880423467597,10
4.0976457593666185,4.991745471954346,0.35300003986124356,11,8.720796823501587,0.13792621715818476,1715370011.430436,4.235571976524803,11
3.501759366797289,5.268099069595337,0.32507980842598855,12,8.997355937957764,0.12221258760488973,1715370011.706995,3.6239719544021787,12
2.753149376517902,5.550372362136841,0.3289368653212543,13,9.279489278793335,0.10584459171869821,1715370011.9891284,2.8589939682366,13
2.4489571993251844,5.8376641273498535,0.32042868868032043,14,9.566920042037964,0.10647308524343373,1715370012.276559,2.5554302845686183,14
2.210054043078763,6.123178720474243,0.31395955378322715,15,9.852686166763306,0.10230884490363253,1715370012.5623252,2.312362887982396,15
1.9872440889503513,6.407811641693115,0.3043707582387014,16,10.137066841125488,0.09817338060591693,1715370012.846706,2.085417469556268,16
1.8024622610226877,6.693134784698486,0.2975263313927636,17,10.422529697418213,0.09360229564567926,1715370013.1321688,1.896064556668367,17
1.5764265959006434,6.981659889221191,0.28376151571513236,18,10.710711240768433,0.08824961865973645,1715370013.4203503,1.6646762145603797,18
1.4059361917029,7.264765739440918,0.28100816624471064,19,10.994016647338867,0.08259959467179943,1715370013.7036557,1.4885357863746995,19
1.2408688416540832,7.546190023422241,0.26750782026337183,20,11.27537202835083,0.0792302008790949,1715370013.985011,1.320099042533178,20
1.1096339208482782,7.830344915390015,0.2660090672665451,21,11.559531927108765,0.07409973061658315,1715370014.269171,1.1837336514648613,21
0.9598253521025565,8.112426042556763,0.2443508750000528,22,11.8416428565979,0.06953966094069361,1715370014.551282,1.0293650130432501,22
0.785658026949463,8.389113426208496,0.24725483065452392,23,12.118351221084595,0.06278783166807056,1715370014.8279903,0.8484458586175335,23
0.7100283561920145,8.675046682357788,0.23763484844346688,24,12.404517650604248,0.06239185229060788,1715370015.1141567,0.7724202084826224,24
0.6535901040607309,8.955690622329712,0.2320094244040855,25,12.68483281135559,0.059215702707369054,1715370015.394472,0.7128058067681,25
0.5153232415359427,9.232182025909424,0.2154315010781014,26,12.961215734481812,0.05376522549549251,1715370015.6708548,0.5690884670314351,26
0.4290058410757714,9.51047396659851,0.21759320497355408,27,13.239689111709595,0.049371939553995874,1715370015.9493282,0.47837778062976727,27
0.4049084360875885,9.789977312088013,0.20930877783537588,28,13.519177198410034,0.04950194055457879,1715370016.2288163,0.45441037664216727,28
0.3881485397916784,10.069775819778442,0.2142145950850459,29,13.798928260803223,0.046968968949084415,1715370016.5085673,0.4351175087407628,29
0.3717821775863278,10.353766918182373,0.20846835962462634,30,14.08312439918518,0.047776349784987106,1715370016.7927635,0.41955852737131494,30
0.35613553941386183,10.632645845413208,0.2019269557939891,31,14.361802101135254,0.04618897117572375,1715370017.0714412,0.40232451058958557,31
0.29048710606228517,10.917651653289795,0.19183263312020699,32,14.647021293640137,0.041971548433419686,1715370017.3566604,0.3324586544957049,32
0.2624240594589988,11.199864625930786,0.19263019069989148,33,14.929022312164307,0.039558030538948505,1715370017.6386614,0.30198208999794734,33
0.24864782951587044,11.478464365005493,0.18949836512204501,34,15.207707166671753,0.03931438994550651,1715370017.9173462,0.28796221946137696,34
0.24211445058177344,11.759191989898682,0.18669007909499008,35,15.488222122192383,0.03853575084958351,1715370018.1978612,0.28065020143135694,35
0.20501022373076194,12.040082216262817,0.17855246911512185,36,15.769323587417603,0.03699721080687539,1715370018.4789627,0.24200743453763734,36
0.19591423920709614,12.319291591644287,0.18140541633272048,37,16.048471212387085,0.03497051498454428,1715370018.7581103,0.23088475419164042,37
0.18866910033135353,12.598846435546875,0.1705986683349893,38,16.328017473220825,0.0354844428661149,1715370019.0376565,0.22415354319746844,38
0.16989465949147003,12.881605625152588,0.17470659964800767,39,16.6107919216156,0.03197544834165788,1715370019.320431,0.20187010783312792,39
0.16082260457466388,13.168982028961182,0.1720830650439814,40,16.898380756378174,0.032855694550932645,1715370019.6080198,0.19367829912559653,40
0.14644800909384345,13.729055404663086,0.16887159312917835,42,17.45829176902771,0.03219274472522177,1715370020.1679308,0.17864075381906522,41
0.09423047031266879,14.85308289527893,0.14577818920724556,46,18.582313537597656,0.024397002347275376,1715370021.2919526,0.11862747265994417,42
