loss_interior,step,_step,_timestamp,loss,_runtime,l2_error,loss_boundary,time
50.352920613626374,0,0,1715368964.8036928,50.36122180168217,5.018493890762329,0.5574212383908607,0.008301188055798292,0.9870960712432861
50.00033332173609,1,1,1715368964.8140874,50.00266587821059,5.028888463973999,0.5070059797292276,0.0023325564744987584,1.278461217880249
49.69759414829024,2,2,1715368964.8239663,49.69770989768465,5.038767337799072,0.4611788548695555,0.00011574939441196612,1.288341999053955
49.42245234996601,3,3,1715368964.8336778,49.42361048546248,5.048478841781616,0.4192691313155481,0.001158135496473183,1.29795503616333
49.15578926481792,4,4,1715368964.8429394,49.16092166267652,5.0577404499053955,0.38115917538515226,0.005132397858600719,1.307248592376709
48.88096391790816,5,5,1715368964.8523962,48.89292239679901,5.067197322845459,0.3475601021311669,0.011958478890846176,1.3167154788970947
48.58479360777469,6,6,1715368964.8620524,48.60647270404672,5.076853513717651,0.31988627170677975,0.021679096272027687,1.3262348175048828
48.255821064664694,7,7,1715368964.8710825,48.29019000955123,5.085883617401123,0.30002404570103447,0.03436894488653849,1.3353281021118164
47.88297702902894,8,8,1715368964.8803287,47.933081218365956,5.095129728317261,0.2899707822015701,0.05010418933701519,1.3445279598236084
47.454584821243195,9,9,1715368964.8895278,47.523431032191,5.104328870773315,0.29091997204978143,0.06884621094780369,1.3537275791168213
46.957297401665514,10,10,1715368964.8987453,47.047631161682375,5.113546371459961,0.30241211732100604,0.09033376001686148,1.362992763519287
46.37487795431405,11,11,1715368964.910204,46.48890166971253,5.125005006790161,0.3223627868457597,0.11402371539848015,1.3727774620056152
45.687446471772894,12,12,1715368964.9195974,45.82657453935404,5.134398460388184,0.34786650947604725,0.13912806758114554,1.3838551044464111
44.871434888116234,13,13,1715368964.9295514,45.03608354503032,5.144352436065674,0.3760059506319022,0.16464865691409247,1.39381742477417
43.899808822015395,14,14,1715368964.9391391,44.089241255804275,5.153940200805664,0.4043300523138457,0.18943243378888264,1.4033472537994385
42.742508249278295,15,15,1715368964.9484084,42.95480994485474,5.163209438323975,0.4310299202972379,0.21230169557644527,1.4125492572784424
41.367511096901644,16,16,1715368964.9574895,41.599726512050765,5.172290563583374,0.4549886747640559,0.23221541514912344,1.4216845035552979
39.742730695672456,17,17,1715368964.9666734,39.99119218487233,5.181474447250366,0.47589101450539417,0.24846148919987832,1.4308853149414062
37.83825980199246,18,18,1715368964.9759266,38.099189359080995,5.190727710723877,0.4943385250359269,0.2609295570885374,1.4401180744171143
35.62926586814361,19,19,1715368964.9851308,35.89962634942818,5.199931859970093,0.5119617895044296,0.27036048128456863,1.4493622779846191
33.101420420559286,20,20,1715368964.9945161,33.37996482115275,5.209317207336426,0.5316463742260562,0.2785444005934598,1.4587626457214355
30.25929627848152,21,21,1715368965.003664,30.54787113531458,5.218465089797974,0.5575598858115494,0.28857485683305956,1.467865228652954
27.136558627338612,22,22,1715368965.0128698,27.441492935140623,5.227670907974243,0.5942389416671963,0.30493430780201,1.477038860321045
23.807173727166695,23,23,1715368965.0220757,24.13996923389401,5.236876726150513,0.6450140024346044,0.33279550672731445,1.4863100051879883
20.402708432936603,24,24,1715368965.0313504,20.779297091230106,5.246151447296143,0.710367599886372,0.37658865829350424,1.4955518245697021
17.170375694899324,25,25,1715368965.0406208,17.60837436086105,5.255421876907349,0.7868002180179673,0.4379986659617238,1.5048198699951172
14.579068431632743,26,26,1715368965.0498788,15.093249096641843,5.264679908752441,0.8646712415523726,0.5141806650090996,1.5140855312347412
13.227182661469884,27,27,1715368965.059116,13.822481020028933,5.273916959762573,0.926201049244586,0.5952983585590488,1.5233285427093506
13.080510624633535,28,28,1715368965.0682795,13.742518728061967,5.283080577850342,0.9593380291636274,0.6620081034284323,1.5324790477752686
12.958782314731623,29,29,1715368965.0775063,13.657483435797593,5.292307376861572,0.9682767459938754,0.6987011210659697,1.5416648387908936
11.941744927689603,30,30,1715368965.0868728,12.648775861080697,5.301673889160156,0.9650828079934429,0.7070309333910937,1.5510694980621338
10.274097761897812,31,31,1715368965.095871,10.973383612059093,5.310672044754028,0.9634188702981009,0.6992858501612818,1.5602715015411377
8.622804967720858,32,32,1715368965.104872,9.311944436337537,5.31967306137085,0.9715057917706026,0.6891394686166782,1.5695009231567383
7.316990651283591,33,33,1715368965.113828,8.001097713725478,5.328629016876221,0.9872226909652115,0.6841070624418873,1.578413724899292
6.52720599730602,34,34,1715368965.1227093,7.2101869210331335,5.337510347366333,0.9988674667595777,0.682980923727113,1.5873844623565674
6.392116722270937,35,35,1715368965.1317647,7.07039936309159,5.3465657234191895,0.9914880963138692,0.6782826408206531,1.5964434146881104
6.6464175278603435,36,36,1715368965.1407638,7.307700105331469,5.355564832687378,0.9638030059173983,0.661282577471126,1.6053783893585205
6.865406302946232,37,37,1715368965.1496868,7.498325965283189,5.364487886428833,0.9304699483964602,0.6329196623369571,1.6142523288726807
6.948065678015076,38,38,1715368965.1585243,7.552644963619129,5.373325347900391,0.9090460674655924,0.6045792856040533,1.6231729984283447
6.8003771116435985,39,39,1715368965.167416,7.388393109895919,5.382217168807983,0.9087020173961914,0.5880159982523208,1.6320722103118896
6.328004097657462,40,40,1715368965.176415,6.916645732175004,5.391216039657593,0.9286668704275917,0.5886416345175421,1.6410491466522217
5.195527148745582,42,41,1715368965.1925347,5.8310755710936535,5.4073357582092285,0.9933531129582536,0.6355484223480709,1.6571576595306396
3.9119989251655594,46,42,1715368965.2232704,4.658011662425585,5.4380714893341064,1.0531738960318002,0.7460127372600256,1.6878952980041504
