loss_boundary,loss_interior,loss,step,l2_error,_runtime,time,_step,_timestamp
0.008301188055798292,50.352920613626374,50.36122180168217,0,0.2980443351066512,15.801682233810425,11.517858028411865,0,1715374398.8068242
0.07237618782875764,49.56527688437968,49.63765307220844,1,0.30407860515802154,26.403221130371094,22.520021200180054,1,1715374409.408363
0.06295133407084876,49.432519901373915,49.49547123544476,2,0.3260044273975198,37.1064453125,33.223341941833496,2,1715374420.1115873
0.03765248040421034,48.79768454511793,48.83533702552214,3,1.9059780021707589,48.751261949539185,44.8679735660553,3,1715374431.756404
2.373958062310436,30.557902924576172,32.931860986886605,4,1.702700138501748,63.2446870803833,59.357343673706055,4,1715374446.249829
1.9612387173448549,28.866035416001125,30.82727413334598,5,0.4845514722619574,78.0609540939331,74.1757140159607,5,1715374461.066096
0.23463945774402958,22.491380172599683,22.726019630343714,6,0.7683296600840913,91.70847654342651,87.82519245147705,6,1715374474.7136185
0.4620179952960229,9.735385004766979,10.197403000063002,7,0.4353081315386342,104.72455096244812,100.84190130233765,7,1715374487.729693
0.18223457539873741,6.25170907242181,6.433943647820548,8,0.4178210191250653,117.36439514160156,113.48125004768372,8,1715374500.369537
0.1455868107294919,2.699211387673606,2.844798198403098,9,0.1480117330080687,133.20398497581482,129.32075428962708,9,1715374516.209127
0.009417753975635372,0.4625462395324591,0.4719639935080945,10,0.03295597922377665,147.2380256652832,143.3549942970276,10,1715374530.2431676
0.0008071058472934441,0.06831298172206988,0.06912008756936333,11,0.02926583545898637,159.5298912525177,155.64666867256165,11,1715374542.5350332
0.0008536379893429425,0.02853011268850744,0.02938375067785038,12,0.0067953167999520525,170.79883766174316,166.91452169418335,12,1715374553.8039796
5.82797430647384e-05,0.0030465554628714762,0.0031048352059362145,13,0.00718271704590646,183.76457619667053,179.8777298927307,13,1715374566.7697182
3.602027940883918e-05,0.0006833283629455323,0.0007193486423543715,14,0.002930798783947881,195.00475668907166,191.12124037742615,14,1715374578.0098987
7.645962573107466e-06,0.0001809251894204099,0.00018857115199351736,15,0.0006178400634161741,206.12658548355103,202.2432460784912,15,1715374589.1317275
5.642738878469728e-07,2.2197915889862485e-05,2.2762189777709457e-05,16,0.0005983601007515454,217.31126379966736,213.42812180519104,16,1715374600.3164058
2.2554440405296058e-07,4.372994546567169e-06,4.598538950620129e-06,17,0.00033299389309479643,228.14819955825806,224.2654812335968,17,1715374611.1533415
7.645379282790483e-08,1.9387140671464584e-06,2.0151678599743634e-06,18,0.0001772021630412107,239.22489428520203,235.34238600730896,18,1715374622.2300363
2.8824465686231e-08,1.0075043313035523e-06,1.0363287969897832e-06,19,0.00019511519283698712,250.46371603012085,246.58054661750793,19,1715374633.468858
1.8315444578123457e-08,3.122063445784203e-07,3.3052178915654376e-07,20,5.056246748305992e-05,262.21556639671326,258.33299374580383,20,1715374645.2207084
2.4499997185889916e-09,3.399899204527593e-08,3.6448991763864924e-08,21,3.9124519573835365e-05,273.12844944000244,269.2447147369385,21,1715374656.1335914
1.6540629556540554e-09,2.0855949184130125e-08,2.251001213978418e-08,22,2.968959791511514e-05,285.7491250038147,281.8661184310913,22,1715374668.754267
1.117727936582416e-09,8.483034297988111e-09,9.600762234570528e-09,23,1.8487480265947184e-05,298.701890707016,294.81864285469055,23,1715374681.7070327
6.413733049054807e-10,3.1637081725599622e-09,3.805081477465443e-09,24,1.5690430551564792e-05,309.76514959335327,305.8821351528168,24,1715374692.7702916
4.719456926878605e-10,2.183313317607796e-09,2.6552590102956564e-09,25,1.3922497279570938e-05,321.1940915584564,317.31120467185974,25,1715374704.1992335
3.7804014180719455e-10,1.7784392768977141e-09,2.156479418704909e-09,26,1.248247376485252e-05,332.3224091529846,328.43942880630493,26,1715374715.3275511
3.145112686607241e-10,1.5307552123294731e-09,1.8452664809901972e-09,27,1.1052197577850551e-05,343.8713221549988,339.9880611896515,27,1715374726.8764641
2.677658921884796e-10,1.3704947250974836e-09,1.6382606172859633e-09,28,1.026268591128956e-05,355.9208333492279,352.0377585887909,28,1715374738.9259753
2.3145129547872831e-10,1.2459388431532739e-09,1.477390138632002e-09,29,9.529739869784125e-06,367.13198804855347,363.24888920783997,29,1715374750.13713
2.0232837743186622e-10,1.0914637789663832e-09,1.2937921563982495e-09,30,8.777747790422462e-06,378.45404839515686,374.57071709632874,30,1715374761.4591904
1.79044018184048e-10,1.0423121386398943e-09,1.2213561568239423e-09,31,8.43370990841662e-06,389.7987699508667,385.9160542488098,31,1715374772.803912
1.686998447721158e-10,9.454845085836711e-10,1.1141843533557869e-09,32,7.962645536394719e-06,401.4317054748535,397.54851627349854,32,1715374784.4368474
1.5005453989264266e-10,8.800357669942941e-10,1.0300903068869368e-09,33,7.0643614726677115e-06,412.6970782279968,408.81437516212463,33,1715374795.7022202
1.3332912690773887e-10,8.050043704795068e-10,9.383334973872457e-10,34,6.715899885476711e-06,424.4090211391449,420.5259506702423,34,1715374807.414163
1.1996978567264166e-10,7.315665451714555e-10,8.515363308440972e-10,35,6.219503282409251e-06,436.2133791446686,432.3303282260895,35,1715374819.218521
1.073408475334067e-10,6.728241366466664e-10,7.80164984180073e-10,36,5.936849361773024e-06,447.68011569976807,443.7971348762512,36,1715374830.6852577
9.655931739471664e-11,6.183004505052364e-10,7.14859767899953e-10,37,5.578759153865411e-06,459.45368671417236,455.5707550048828,37,1715374842.4588287
8.68034763178473e-11,5.838853044266347e-10,6.70688780744482e-10,38,5.394410702178278e-06,472.06097507476807,468.1754376888275,38,1715374855.066117
7.936635483368512e-11,5.425528896690552e-10,6.219192445027403e-10,39,4.871397270414577e-06,483.3242087364197,479.44126892089844,39,1715374866.3293507
7.089565198250947e-11,4.892279605852946e-10,5.60123612567804e-10,40,4.660350930220386e-06,494.7639217376709,490.88059854507446,40,1715374877.7690637
5.829464347312545e-11,4.3483370439245967e-10,4.931283478655852e-10,42,4.278598151529022e-06,517.918491601944,514.0356681346893,41,1715374900.9236336
4.6559358743698323e-11,3.5494185338495106e-10,4.015012121286494e-10,46,3.8584643815715455e-06,566.0758736133575,562.1925466060638,42,1715374949.0810156
3.640534149274834e-11,3.006143620492867e-10,3.3701970354203505e-10,50,3.3929200163396606e-06,613.602516412735,609.719083070755,43,1715374996.6076584
2.677137278582831e-11,2.433527537957557e-10,2.70124126581584e-10,55,2.887004691789896e-06,674.7707459926605,670.8873217105865,44,1715375057.775888
1.9426176639619852e-11,1.9859719238310045e-10,2.180233690227203e-10,61,2.5777017405730647e-06,741.1220941543579,737.2386338710785,45,1715375124.1272361
1.3846778557530143e-11,1.593248027211545e-10,1.7317158127868465e-10,67,2.1240420136050146e-06,817.9706461429596,814.087459564209,46,1715375200.975788
9.96401264027027e-12,1.3432004300559328e-10,1.4428405564586354e-10,73,1.8557973419188961e-06,895.3195283412933,891.4354763031006,47,1715375278.3246703
7.166926005445672e-12,1.1011371401334057e-10,1.1728064001878624e-10,81,1.6324149554266572e-06,995.6058533191681,991.7217643260956,48,1715375378.6109953
6.957462179028971e-12,1.0782755200071039e-10,1.1478501417973937e-10,82,1.5768384699102864e-06,1008.041805267334,1004.158721446991,49,1715375391.0469472
