loss,time,_runtime,loss_boundary,step,_step,_timestamp,loss_interior,l2_error
50.36122180168217,1.533766746520996,5.591167449951172,0.008301188055798292,0,0,1715367018.8032866,50.352920613626374,0.384377906826615
48.79988107838491,1.9589910507202148,5.7181384563446045,0.011258246973121718,1,1,1715367018.9302576,48.788622831411786,1.9726838774680608
29.156519384914432,2.0786051750183105,5.838867902755737,2.2365738396284227,2,2,1715367019.050987,26.91994554528601,1.6068392477502997
13.239541748219942,2.198448657989502,5.957231283187866,1.4468950519325492,3,3,1715367019.1693504,11.792646696287393,1.3732271142374717
8.800081778779791,2.3136510848999023,6.072430372238159,1.1167015729444634,4,4,1715367019.2845495,7.683380205835329,1.267426550824595
7.809950458675199,2.4287619590759277,6.187518358230591,0.9942695151644968,5,5,1715367019.3996375,6.815680943510702,1.1921745200246658
7.352052455966018,2.54382586479187,6.302575349807739,0.9183435516486703,6,6,1715367019.5146945,6.433708904317348,1.1001225873266498
6.960229564786646,2.6600112915039062,6.418754577636719,0.8440485969963762,7,7,1715367019.6308737,6.11618096779027,0.9266456351088502
4.808043941304359,2.7758827209472656,6.534641265869141,0.7841915409000263,8,8,1715367019.7467604,4.0238524004043335,0.8377936484021575
3.9865858059335952,2.891509771347046,6.650284767150879,0.6734240060896847,9,9,1715367019.8624039,3.3131617998439107,0.7101493357587567
3.1746090060854977,3.0068888664245605,6.765647888183594,0.4881349217363567,10,10,1715367019.977767,2.686474084349141,0.5921616273434914
2.873451073737584,3.1229512691497803,6.8817620277404785,0.3317945356136729,11,11,1715367020.0938811,2.541656538123911,0.5529837289810082
1.7061775301946813,3.2495925426483154,7.008793115615845,0.27523007319301696,12,12,1715367020.2209122,1.4309474570016645,0.5271443558006891
1.201246559718295,3.381345272064209,7.140324354171753,0.22812818244080546,13,13,1715367020.3524435,0.9731183772774895,0.47351087492342125
1.1209662829605096,3.4975922107696533,7.256416082382202,0.18842361556769816,14,14,1715367020.4685352,0.9325426673928114,0.4432510505369556
0.9089143058661021,3.6129839420318604,7.3717873096466064,0.17392118208370744,15,15,1715367020.5839064,0.7349931237823947,0.4294688003004555
0.8306217079561209,3.729989528656006,7.488929986953735,0.166835060569613,16,16,1715367020.701049,0.6637866473865078,0.4013267720033443
0.7678611291528421,3.847679376602173,7.606571197509766,0.15023443780680712,17,17,1715367020.8186903,0.617626691346035,0.3699331593241015
0.69445375648944,3.963535785675049,7.722328186035156,0.12962209629905153,18,18,1715367020.9344473,0.5648316601903884,0.3336135101029022
0.5152282281133558,4.079374313354492,7.838176965713501,0.1034482581202828,19,19,1715367021.050296,0.411779969993073,0.3166723830701745
0.4887224491596435,4.1972081661224365,7.9561522006988525,0.09015013302575077,20,20,1715367021.1682713,0.39857231613389277,0.28105106828982596
0.36731282968623763,4.315163850784302,8.074002027511597,0.0639695559774311,21,21,1715367021.2861211,0.30334327370880654,0.2773131388840739
0.3610608942187811,4.431715726852417,8.190494060516357,0.06138666762680086,22,22,1715367021.4026132,0.2996742265919803,0.27197824516742736
0.347922361381085,4.554082155227661,8.312989473342896,0.05790586440633009,23,23,1715367021.5251086,0.2900164969747549,0.26824935978864806
0.3363571271246849,4.671195030212402,8.430062294006348,0.055722355962207294,24,24,1715367021.6421814,0.2806347711624776,0.26110578260091116
0.31049801811775124,4.788534641265869,8.547452926635742,0.053101385904591326,25,25,1715367021.759572,0.2573966322131599,0.2546075290211977
0.28582712029022467,4.905368804931641,8.664209365844727,0.052334241782149286,26,26,1715367021.8763285,0.2334928785080754,0.252403082986852
0.27212270435207686,5.021762132644653,8.780599117279053,0.05262297446542819,27,27,1715367021.9927182,0.21949972988664868,0.25063776554954054
0.23495752347444,5.138729810714722,8.89753532409668,0.054407986692741515,28,28,1715367022.1096544,0.18054953678169847,0.25072899863405457
0.23321968411040028,5.255266189575195,9.01410174369812,0.055035230579620835,29,29,1715367022.2262208,0.17818445353077944,0.2505466585508341
0.23068854908635664,5.371147871017456,9.129953384399414,0.0554129689768078,30,30,1715367022.3420725,0.17527558010954883,0.24886786689293636
0.2198285443470348,5.4870405197143555,9.245818138122559,0.05557037458601161,31,31,1715367022.4579372,0.1642581697610232,0.2415156043006787
0.1938063835783877,5.6024603843688965,9.361254930496216,0.054764890329377064,32,32,1715367022.573374,0.13904149324901063,0.2410710884427908
0.19370939277561933,5.718580007553101,9.47736144065857,0.05470943140785761,33,33,1715367022.6894805,0.13899996136776172,0.23762224952453292
0.18875296254228768,5.834406852722168,9.59319019317627,0.05414695576191787,34,34,1715367022.8053093,0.1346060067803698,0.23378000598410478
0.18092066830549988,5.949894189834595,9.708654165267944,0.05331512942826245,35,35,1715367022.9207733,0.12760553887723744,0.22997040182817963
0.16979603273138072,6.065332651138306,9.824095487594604,0.052218276349869606,36,36,1715367023.0362146,0.11757775638151112,0.22667439477419865
0.15801542032446744,6.180461406707764,9.93923568725586,0.05086663676397573,37,37,1715367023.1513548,0.1071487835604917,0.22465126429662083
0.14762601917116303,6.296376466751099,10.055180072784424,0.04945137314146845,38,38,1715367023.2672992,0.09817464602969458,0.22449931675114537
0.14236448981700908,6.411013126373291,10.169768810272217,0.04817765194362623,39,39,1715367023.381888,0.09418683787338286,0.2247780607694286
0.1406973517544199,6.52660059928894,10.285455465316772,0.04754737502085776,40,40,1715367023.4975746,0.09314997673356215,0.2246511773493875
0.11684505895810234,6.756693601608276,10.515598773956299,0.04376467366036502,42,41,1715367023.7277179,0.07308038529773732,0.21962775105176452
