_step,_timestamp,loss,_runtime,loss_boundary,step,time,l2_error,loss_interior
0,1715366991.8768463,50.36122180168217,5.081563234329224,0.008301188055798292,0,1.0254838466644287,0.5985292669258931,50.352920613626374
1,1715366991.897717,50.25750467448193,5.102433919906616,0.0064583213174458235,1,1.379789113998413,0.5742317526980112,50.25104635316448
2,1715366991.9077022,50.079152179374034,5.112419128417969,0.003751640651971688,2,1.389552354812622,0.5434948580429103,50.075400538722064
3,1715366991.9171476,49.860169255320194,5.121864557266235,0.0013406079718976257,3,1.398996353149414,0.5098734767355858,49.8588286473483
4,1715366991.9266698,49.62696212467309,5.131386756896973,8.109049238403025e-05,4,1.408491611480713,0.4755879996875896,49.626881034180705
5,1715366991.9361827,49.390829401117415,5.140899658203125,0.0004144828139047951,5,1.4180340766906738,0.4412162251663401,49.39041491830351
6,1715366991.9457312,49.146040701669,5.1504480838775635,0.0025977777105812756,6,1.4275777339935303,0.4059690254003351,49.14344292395842
7,1715366991.9551158,48.87087002771582,5.159832715988159,0.007118140366808959,7,1.4369451999664307,0.3686261891989271,48.86375188734901
8,1715366991.964589,48.528089570444195,5.169306039810181,0.015219051623629545,8,1.4463815689086914,0.3298163922441075,48.51287051882056
9,1715366991.973976,48.06234672220834,5.178692817687988,0.02964590228040957,9,1.4558072090148926,0.2979369575791405,48.03270081992793
10,1715366991.9834344,47.392703768779754,5.1881513595581055,0.055856824846503214,10,1.4652137756347656,0.30027781069023374,47.33684694393325
11,1715366991.9998758,46.39715808820049,5.204592704772949,0.10385422231854037,11,1.4749064445495605,0.3774602494624662,46.29330386588195
12,1715366992.0096333,44.87584493709591,5.21435022354126,0.18993842269891104,12,1.49139404296875,0.5409044682109311,44.685906514397004
13,1715366992.019117,42.43713129336129,5.223834037780762,0.3347665838078112,13,1.5009078979492188,0.7648036697083213,42.10236470955348
14,1715366992.0286531,38.11153304198931,5.233370065689087,0.5472044846182245,14,1.5104238986968994,0.9884423056098119,37.564328557371084
15,1715366992.03844,29.230028336889536,5.243156909942627,0.7788078510172416,15,1.5201959609985352,1.1585139297753353,28.451220485872295
16,1715366992.0480769,18.795626686845083,5.252793788909912,1.0745622575396196,16,1.5298066139221191,1.9573837707687691,17.721064429305464
17,1715366992.0575373,37.130239711595266,5.262254238128662,2.336052487120859,17,1.539344310760498,0.9465057788096063,34.794187224474406
18,1715366992.0671785,26.234877270014675,5.271895408630371,0.7755540211011362,18,1.5489420890808105,1.2192959062398325,25.459323248913538
19,1715366992.076459,22.787399966893876,5.281175851821899,1.0156154310700998,19,1.5582265853881836,1.521322137586041,21.771784535823777
20,1715366992.085571,20.25969891219634,5.290287971496582,1.4771244027030337,20,1.5673253536224365,1.3729068544571814,18.782574509493305
21,1715366992.0946832,30.895156470054793,5.299400091171265,1.4955081108012873,21,1.576411485671997,2.364977312834822,29.399648359253508
22,1715366992.1038673,37.778933833699206,5.308584213256836,3.2775757285453753,22,1.5855660438537598,2.3026057076959985,34.501358105153834
23,1715366992.1130028,38.80974214908955,5.3177196979522705,3.3331382324791354,23,1.5947012901306152,1.871961948877141,35.476603916610415
24,1715366992.122111,38.17354663896784,5.3268280029296875,2.3262314675394946,24,1.6038391590118408,1.3117383070746913,35.84731517142835
25,1715366992.1311846,34.798958732981944,5.335901498794556,1.2468936267469632,25,1.6129484176635742,0.7714705840414752,33.552065106234984
26,1715366992.1405106,29.238814355933716,5.345227479934692,0.5120614659369421,26,1.6222171783447266,0.6388411186007326,28.726752889996774
27,1715366992.149638,21.533536669179817,5.3543548583984375,0.3806141136682369,27,1.6313579082489014,1.0903891578794822,21.15292255551158
28,1715366992.1589031,9.887204175713038,5.363620042800903,1.0461886201243504,28,1.6406047344207764,1.8027595874775273,8.841015555588687
29,1715366992.168136,25.20492399122217,5.372852802276611,2.30073644408814,29,1.6498301029205322,2.341344838244946,22.90418754713403
30,1715366992.1773186,32.78322820952866,5.382035493850708,2.8696907693620752,30,1.6590404510498047,2.1798335955302814,29.913537440166586
31,1715366992.1865547,30.417928944882973,5.391271591186523,2.023022540093867,31,1.6682753562927246,1.4071361845645,28.394906404789108
32,1715366992.1954885,22.78610209476092,5.400205373764038,0.8760768985090713,32,1.677452564239502,1.1067285931767343,21.910025196251848
33,1715366992.204333,21.502377646658893,5.409049987792969,0.8637470160023297,33,1.686509370803833,0.6787915841432616,20.638630630656564
34,1715366992.2131338,15.153772187208036,5.417850732803345,0.4007805601931466,34,1.6952998638153076,0.9941686298003372,14.75299162701489
35,1715366992.2219121,10.941338461874766,5.426629066467285,0.6915771947109891,35,1.7040655612945557,1.1183117813643495,10.249761267163777
36,1715366992.2307248,18.3912215662465,5.435441732406616,1.049688985675435,36,1.7128863334655762,2.223775322277448,17.341532580571066
37,1715366992.2394888,23.637492466624348,5.4442057609558105,2.4554688285919126,37,1.7216596603393555,1.0310558216328056,21.182023638032437
38,1715366992.2483065,11.665848833164725,5.453023433685303,0.7427020302235299,38,1.730466604232788,0.6631477870802431,10.923146802941195
39,1715366992.2570405,17.34585816203983,5.46175742149353,0.3448893128127172,39,1.7391762733459473,0.5903438684135848,17.00096884922711
40,1715366992.2656765,9.848797897345674,5.470393419265747,0.3042619549341718,40,1.7478280067443848,0.7284539971462858,9.544535942411503
41,1715366992.2819161,7.761759828422935,5.486633062362671,0.5243677161437181,42,1.7640573978424072,0.7849012228644058,7.237392112279217
42,1715366992.3131616,6.572577038968351,5.517878532409668,0.688359129194568,46,1.795332670211792,0.8716626392194043,5.884217909773783
43,1715366992.3439872,5.698485268071324,5.548704147338867,0.637597424854035,50,1.8261210918426514,0.9332506735142657,5.060887843217289
44,1715366992.381668,3.6837825781586058,5.586385011672974,0.5084726092310282,55,1.8637981414794922,0.6832535289465962,3.1753099689275777
45,1715366992.4304006,2.4538598832532093,5.635117530822754,0.4669958056672873,61,1.912318468093872,0.6819941886437091,1.9868640775859219
46,1715366992.4759886,1.6396747477202749,5.680705547332764,0.18005504950923754,67,1.958122968673706,0.45126826022696337,1.4596196982110374
47,1715366992.5216393,1.0525806196717689,5.726356267929077,0.11937164724144368,73,2.0037882328033447,0.2844539323673797,0.9332089724303252
48,1715366992.5818708,0.44935287654071127,5.786587715148926,0.015183063177923777,81,2.0639960765838623,0.0879153942558518,0.4341698133627875
49,1715366992.642015,0.2435527258309789,5.846731901168823,0.02647045297893421,89,2.1241188049316406,0.1888863187242714,0.21708227285204468
50,1715366992.7101326,0.15192994569888676,5.914849519729614,0.04260248457082316,98,2.192220449447632,0.1708362095148581,0.1093274611280636
51,1715366992.7777786,0.12166006998143175,5.982495546340942,0.027679201608378244,107,2.259896755218506,0.15094241162500877,0.09398086837305351
52,1715366992.8651197,0.08959816372010714,6.069836616516113,0.0182032912033922,118,2.347191333770752,0.1125089828494267,0.07139487251671493
53,1715366992.9545608,0.0721829418569169,6.159277677536011,0.014884283953617265,130,2.4366726875305176,0.09832993007604944,0.05729865790329964
54,1715366993.0511532,0.06099210164961215,6.25587010383606,0.012094943250390646,143,2.5332722663879395,0.08756680066960724,0.0488971583992215
55,1715366993.1562395,0.052525211223345726,6.360956430435181,0.010738418734180424,157,2.6382546424865723,0.08083813326427591,0.0417867924891653
56,1715366993.269226,0.04590720378410258,6.473942995071411,0.010056482270268983,172,2.751319169998169,0.07726396894480814,0.035850721513833596
57,1715366993.4045966,0.04005164972672004,6.609313488006592,0.009219372415911834,190,2.8866944313049316,0.07227357193521941,0.030832277310808204
58,1715366993.5411475,0.03564360415867118,6.745864391326904,0.00863952592787283,208,3.0232207775115967,0.0690296547162875,0.02700407823079835
59,1715366993.6965966,0.03169069609990683,6.901313543319702,0.008231671654407151,229,3.178666830062866,0.06662988660752918,0.023459024445499677
60,1715366993.8695335,0.028332613856893445,7.0742504596710205,0.00792193480204043,252,3.351529359817505,0.06474302555835149,0.020410679054853016
61,1715366994.0584593,0.025456251532084407,7.263176202774048,0.007678938079319267,277,3.540438413619995,0.06327079293301863,0.01777731345276514
62,1715366994.264744,0.022887618879723935,7.469460964202881,0.007471657336556777,305,3.7468228340148926,0.062073026094923135,0.015415961543167158
63,1715366994.4887288,0.02065346463848196,7.693445682525635,0.007293286358729212,335,3.9707398414611816,0.0611291773738194,0.01336017827975275
64,1715366994.740839,0.018551988924836366,7.945555925369263,0.007121862230929813,369,4.222897291183472,0.060338189324067724,0.011430126693906553
65,1715366995.0211039,0.01661979058260642,8.225820779800415,0.0069535561002468955,406,4.503167629241943,0.059686228455157815,0.009666234482359525
